10208				    1
10219				    1
10231				    1
10242				    1
10254				    1
10265				    1
10276				    1
10288				    1
10299				    1
10311				    1
10322				    1.0	
10334				    1.3	
10345				    1.7	
10357				    1.7	
10368				    1.7	
10379				    1.7	
10390				    1.7	
10397				    1.7	
10403				    1.7	
10408				    1.7	
10413				    1.7	
10418				    1.7	
10423				    1.7	
10428				    1.7	
10434				    1.7	
10439				    1.7	
10444				    1.7	
10449				    1.7	
10454				    1.7	
10459				    1.8	
10464				    1.8	
10469				    1.8	
10474				    1.8	
10480				    1.8	
10485				    1.9	
10490				    2.8	
10495				    2.8	
10500				    3.0	
10506				    3.0	
10511				    3.0	
10516				    3.0	
10521				    3.0	
10526				    3.0	
10531				    3.0	
10536				    3.0	
10542				    3.0	
10547				    3.0	
10552				    3.0	
10557				    3.0	
10562				    3.0	
10568				    3.0	
10573				    3.0	
10579				    3.3	
10584				    3.6	
10590				    3.6	
10596				    3.6	
10602				    3.7	
10607				    4.1	
10613				    4.1	
10620				    4.1	
10626				    4.2	
10633				    5.1	
10640				    5.1	
10647				    5.1	
10654				    5.1	
10662				    5.6	
10669				    5.7	
10676				    5.7	
10683				    5.7	
10690				    5.7	
10698				    5.7	
10705				    5.7	
10712				    5.7	
10719				    5.7	
10726				    5.7	
10734				    5.7	
10741				    5.7	
10748				    5.7	
10755				    5.7	
10762				    5.7	
10769				    5.7	
10777				    5.7	
10784				    5.7	
10791				    5.7	
10798				    5.7	
10805				    5.7	
10813				    5.7	
10820				    5.5	
10827				    5.5	
10834				    5.5	
10841				    5.5	
10848				    5.2	
10855				    5.1	
10862				    5.1	
10869				    4.9	
10877				    4.9	
10884				    4.8	
10891				    4.8	
10898				    4.8	
10905				    4.5	
10913				    4.5	
10922				    4.5	
10930				    4.4	
10939				    4.4	
10947				    4.3	
10958				    4.3	
10968				    4.3	
10979				    4.2	
10990				    4.2	
11002				    4.2	
11013				    4.2	
11025				    4.3	
11036				    4.4	
11047				    4.4	
11059				    4.4	
11070				    4.4	
11082				    4.4	
11093				    4.4	
11105				    4.4	
11116				    4.4	
11127				    4.4	
11138				    4.4	
11150				    4.4	
11161				    4.4	
11172				    4.4	
11184				    4.4	
11195				    4.4	
11207				    4.4	
11218				    4.4	
11229				    4.4	
11241				    4.4	
11252				    4.4	
11263				    4.4	
11275				    4.4	
11286				    4.3	
11298				    4.3	
11310				    4.3	
11321				    4.3	
11332				    4.3	
11344				    4.4	
11355				    4.4	
11367				    4.4	
11378				    4.4	
11390				    4.4	
11401				    4.4	
11412				    4.4	
11424				    4.5	
11435				    4.6	
11447				    4.6	
11459				    4.7	
11470				    4.7	
11482				    4.9	
11493				    4.9	
11505				    4.9	
11516				    4.9	
11527				    4.9	
11539				    5.0	
11550				    5.0	
11562				    5.1	
11573				    5.1	
11584				    5.1	
11596				    5.1	
11608				    5.2	
11619				    5.3	
11630				    5.4	
11642				    5.5	
11654				    5.6	
11665				    5.7	
11676				    5.7	
11688				    5.7	
11699				    5.7	
11711				    5.7	
11722				    5.7	
11734				    5.7	
11745				    5.7	
11756				    5.7	
11768				    5.7	
11779				    5.7	
11791				    5.7	
11802				    5.7	
11814				    5.7	
11825				    5.7	
11837				    5.7	
11848				    5.8	
11859				    5.9	
11871				    5.9
11882				    5.9
11894				    5.8
11905				    5.8
11917				    5.8
11928				    5.7
11939				    5.7
11951				    5.6
11962				    5.6
11973				    5.5
11985				    5.5
11997				    5.5
12009				    5.4
12020				    5.4
12032				    5.4
12043				    5.3
12055				    5.3
12066				    5.3
12077				    5.3
12089				    5.2
12100				    5.1
12111				    5.1
12123				    5.0
12134				    5.0
12146				    4.9
12157				    4.9
12169				    4.9
12180				    4.8
12191				    4.8
12203				    4.8
12214				    4.8
12226				    4.8
12237				    4.7
12248				    4.6
12260				    4.5
12271				    4.5
12283				    4.4
12294				    4.4
12305				    4.4
12317				    4.3
12328				    4.3
12340				    4.3
12351				    4.1
12362				    4.1
12373				    4.0
12384				    4.0
12396				    3.9
12407				    3.9
12418				    3.8
12430				    3.8
12441				    3.8
12453				    3.7
12464				    3.7
12476				    3.6
12487				    3.6
12498				    3.6
12510				    3.5
12521				    3.5
12532				    2.6
12544				    2.6
12555				    2.6
12567				    2.5
12578				    2.4
12590				    2.4
12601				    2.2
12612				    2.2
12623				    2.2
12635				    2.2
12646				    2.1
12658				    2.1
12669				    2.1
12681				    2.1
12692				    2.1
12703				    2.1
12715				    2.1
12726				    2.1
12738				    2.1
12749				    2.1
12760				    2.1
12771				    2.1
12783				    2.0
12795				    2.0
12806				    2.0
12817				    1.9
12829				    1.9
12840				    1.8
12851				    1.7
12862				    1.7
12874				    1.6
12885				    1.6
12897				    1.6
12908				    1.6
12919				    1.4
12931				    1.4
12942				    1.3
12954				    1.3
12965				    1.3
12976				    1.2
12988				    1.2
12999				    1.1
13011				    1.1
13022				    1.0
13034				    1
13046				    1
13057				    1
13069				    1
13080				    1
13092				    1
13103				    1
13115				    1
13126				    1
13137				    1
13149				    1
13161				    1
13172				    1
13183				    1
13195				    1
13206				    1
13218				    1
13229				    1
13240				    1
13251				    1
13263				    1
13274				    1
13286				    1
13297				    2.8
13309				    2.8
13320				    2.8
13331				    2.8
13343				    2.8
