0				    1
11				    1
22				    1
33				    1
44				    1.2	
55				    1.9	
66				    1.9	
78				    1.9	
89				    1.9	
100				    3.0	
111				    3.9	
122				    4.2	
133				    5.1	
144				    5.1	
155				    5.9	
166				    11.1	
177				    11.4	
188				    12.1	
200				    14.0	
211				    16.1	
222				    17.0	
233				    16.6	
244				    16.6	
256				    15.1	
267				    15.1	
278				    15.1	
289				    12.9	
300				    12.7	
312				    13.0	
323				    14.7	
334				    14.7	
345				    15.0	
357				    14.9	
368				    14.3	
379				    14.4	
390				    14.2	
401				    14.1	
412				    14.1	
424				    14.1	
435				    14.1	
446				    14.4	
457				    14.4	
468				    14.4	
479				    13.2	
490				    13.2	
501				    12.9	
512				    13.6	
523				    13.7	
534				    14.1	
546				    14.1	
557				    13.9	
568				    13.8	
579				    14.0	
590				    14.1	
601				    15.1	
612				    15.1	
624				    15.6	
635				    15.6	
646				    15.6	
657				    15.7	
668				    15.7	
679				    16.3	
690				    16.4	
701				    16.4	
712				    16.3	
723				    16.3	
734				    16.3	
746				    16.4	
757				    16.5	
768				    16.4	
779				    16.3	
790				    16.2	
801				    16.2	
812				    15.3	
824				    15.3	
835				    15.2	
847				    16.5	
858				    16.3	
869				    16.3	
880				    17.3	
891				    17.6	
903				    17.6	
914				    17.9	
925				    17.9	
936				    18.3	
947				    18.3	
958				    18.6	
969				    18.6	
980				    18.6	
992				    18.3	
1003				    18.1	
1014				    18.1	
1025				    18.0	
1036				    17.9	
1047				    17.9	
1058				    17.9	
1070				    18.0	
1081				    17.7	
1092				    18.3	
1103				    18.4	
1114				    18.4	
1125				    18.1	
1136				    18.6	
1147				    18.5	
1159				    18.5	
1170				    18.4	
1181				    18.0	
1192				    18.0	
1203				    17.8	
1214				    17.8	
1225				    17.8	
1237				    17.8	
1248				    17.8	
1259				    17.8	
1271				    17.8	
1282				    17.3	
1293				    17.3	
1304				    17.3	
1316				    17.3	
1327				    17.3	
1338				    17.1	
1349				    16.8	
1361				    16.8	
1372				    16.8	
1383				    16.7	
1394				    16.7	
1405				    16.7	
1416				    16.5	
1427				    17.3	
1438				    17.3	
1449				    17.2	
1461				    17.2	
1472				    17.2	
1483				    17.1	
1494				    17.8	
1505				    17.8	
1516				    17.9	
1528				    17.9	
1539				    18.2	
1550				    18.3	
1562				    18.3	
1573				    18.2	
1584				    18.5	
1595				    18.5	
1606				    18.4	
1617				    18.8	
1628				    18.8	
1639				    18.7	
1650				    18.8	
1661				    18.8	
1672				    19.0	
1684				    19.3	
1695				    19.3	
1706				    19.3	
1717				    19.3	
1728				    19.6	
1740				    19.7	
1751				    19.7	
1762				    19.7	
1773				    20.0	
1785				    20.1	
1796				    20.0	
1807				    20.0	
1818				    19.7	
1830				    19.7	
1841				    19.7	
1852				    19.7	
1863				    19.5	
1874				    19.5	
1886				    19.7	
1898				    19.7	
1909				    19.4	
1920				    19.4	
1931				    19.3	
1942				    19.4	
1953				    19.7	
1964				    19.7	
1976				    19.6	
1987				    19.6	
1999				    19.6	
2010				    19.6	
2021				    19.5	
2033				    19.5	
2044				    19.4	
2056				    19.4	
2067				    19.6	
2078				    19.6	
2090				    19.6	
2101				    19.3	
2113				    19.3	
2124				    19.4	
2135				    19.4	
2147				    19.4	
2158				    19.3	
2169				    19.3	
2181				    19.3	
2192				    19.3	
2203				    19.3	
2214				    19.3	
2226				    19.3	
2237				    19.1	
2248				    19.0	
2259				    19.0	
2270				    19.6	
2282				    20.0	
2293				    20.7	
2304				    20.7	
2315				    20.7	
2327				    20.7	
2338				    20.9	
2349				    20.8	
2360				    20.9	
2372				    20.9	
2383				    20.9	
2394				    20.9	
2405				    20.9	
2417				    20.9	
2428				    20.6	
2439				    20.7	
2451				    21.0	
2462				    21.0	
2473				    20.9	
2484				    20.8	
2496				    20.7	
2507				    20.8	
2518				    20.8	
2530				    20.7	
2541				    20.7	
2552				    20.7	
2564				    20.8	
2575				    20.8	
2586				    20.8	
2598				    20.4	
2609				    20.5	
2620				    20.4	
2632				    20.4	
2643				    20.6	
2654				    20.6	
2665				    20.6	
2676				    20.6	
2688				    20.4	
2699				    20.4	
2710				    20.3	
2721				    20.3	
2733				    20.3	
2744				    20.3	
2755				    20.5	
2767				    20.5	
2778				    15.6
2789				    15.6
2800				    15.2
2811				    15.1
2823				    15.1
2834				    15.1
2846				    14.7
2857				    14.6
2868				    14.5
2879				    14.4
2891				    14.4
2902				    14.2
2913				    14.2
2924				    13.9
2936				    13.7
2947				    13.7
2958				    13.6
2969				    13.4
2980				    13.3
2991				    13.2
3002				    13.0
3014				    13.0
3025				    13.1
3036				    12.9
3047				    12.9
3059				    12.7
3070				    12.5
3082				    12.4
3092				    12.2
3104				    12.1
3115				    12.0
3126				    12.1
3137				    11.9
3148				    11.9
3160				    12.5
3171				    12.4
3182				    12.3
3193				    12.2
3204				    11.8
3216				    11.8
3227				    11.5
3238				    11.5
3250				    11.5
3261				    8.8
3272				    8.8
3284				    8.4
3296				    8.2
3307				    8.1
3318				    8.1
3330				    8.0
3341				    7.8
3352				    7.8
3364				    7.5
3375				    7.4
3386				    7.4
3397				    7.1
3410				    7.0
3421				    7.0
3433				    6.9
3444				    6.8
3456				    6.6
3467				    6.4
3478				    6.3
3490				    6.3
3501				    6.1
3512				    6.1
3524				    5.9
3535				    5.8
3547				    5.7
3559				    5.6
3571				    5.5
3582				    5.4
3593				    5.3
3605				    5.2
3616				    5.1
3627				    5.1
3639				    4.9
3650				    4.8
3662				    4.7
3674				    4.7
3685				    5.9
3696				    6.1
3708				    5.8
3719				    5.8
3730				    5.8
3742				    5.5
3753				    5.1
3765				    5.0
3776				    4.7
3787				    4.7
3799				    4.5
3811				    4.2
3822				    4.0
3834				    3.9
3845				    3.8
3857				    3.4
3871				    3.4
3882				    3.2
3894				    3.0
3906				    2.9
3918				    2.7
3929				    2.7
3942				    2.3
3953				    2.3
3964				    2.2
3976				    1.9
3987				    1.9
3999				    1.8
4011				    1.7
4023				    1.5
4035				    1.3
4046				    1.3
4058				    1.1
4070				    1
4083				    1
4094				    1
4106				    1
4118				    1
4129				    1
4141				    1
4153				    12.4
4164				    19.7
4175				    22.3
4186				    40.2
4198				    95.3
4209				    189.2
4220				    186.8
4232				    165.1
4243				    132.0
4256				    114.8
4267				    109.9
4273				    107.2
4279				    107.2
4283				    96.6
4288				    96.6
4293				    93.5
4298				    92.1
4303				    92.1
4307				    78.6
4312				    78.6
4317				    75.5
4321				    75.5
4326				    72.0
4330				    68.6
4335				    68.3
4340				    67.8
4344				    67.8
4349				    63.7
4354				    63.7
4358				    59.0
4363				    59.0
4368				    59.0
4373				    59.0
4379				    59.0
4385				    53.4
4391				    49.4
4398				    49.4
4405				    49.0
4411				    49.0
4419				    44.8
4427				    44.8
4434				    41.3
4442				    40.0
4449				    40.0
4457				    37.8
4465				    37.8
4472				    35.8
4480				    34.3
4488				    32.8
4495				    32.8
4503				    30.8
4511				    30.6
4518				    28.5
4526				    27.8
4534				    27.7
4541				    27.6
4549				    26.2
4557				    26.1
4564				    24.5
4572				    23.8
4580				    23.6
4587				    22.7
4595				    22.7
4602				    22.4
4610				    21.6
4618				    21.6
4625				    20.5
4633				    20.0
4641				    20.0
4648				    19.2
4656				    18.8
4664				    18.6
4671				    17.8
4679				    17.7
4686				    17.1
4694				    23.5
4702				    16.6
4709				    16.5
4717				    16.1
4725				    15.7
4732				    15.7
4740				    15.3
4748				    15.0
4755				    14.6
4763				    14.3
4771				    14.2
4778				    13.8
4786				    13.6
4794				    13.6
4802				    13.2
4810				    12.6
4819				    12.6
4830				    12.5
4841				    11.7
4853				    11.5
4864				    11.2
4875				    11.0
4886				    10.6
4897				    10.5
4908				    8.4
4919				    7.7
4930				    7.7
4941				    7.7
4953				    7.0
4964				    6.5
4975				    6.5
4986				    6.2
4997				    5.7
5008				    5.6
5020				    5.4
5031				    5.0
5043				    4.8
5054				    4.8
5065				    4.4
5076				    4.4
5087				    4.1
5098				    4.1
5110				    3.5
5121				    3.5
5132				    3.4
5143				    2.8
5155				    2.7
5167				    2.6
5178				    2.5
5189				    2.3
5200				    2.2
5211				    2.2
5222				    2.1
5233				    2.1
5244				    2.0
5255				    2.0
5266				    1.8
5277				    1.8
5288				    1.8
5301				    1.7
5312				    1.7
5323				    1.6
5335				    1.6
5346				    1.5
5357				    1.4
5369				    1.4
5379				    1.2
5392				    1.2
5403				    1.0
5414				    1.0
5425				    1.0
5436				    1.0
5448				    6.2
5459				    6.2
5469				    6.2
5480				    9.1
5492				    14.8
5503				    17.7
5514				    18.6
5525				    25.1
5536				    28.8
5547				    28.9
5558				    32.4
5569				    38.8
5580				    38.8
5591				    38.7
5602				    35.5
5612				    35.2
5623				    33.0
5635				    29.5
5645				    27.4
5656				    26.7
5668				    24.5
5679				    22.8
5690				    22.5
5700				    20.7
5712				    20.5
5723				    18.6
5734				    18.6
5745				    16.5
5755				    16.4
5766				    16.4
5777				    15.2
5788				    13.8
5799				    13.4
5810				    12.8
5821				    12.2
5832				    11.8
5843				    11.8
5854				    11.5
5866				    10.8
5876				    10.1
5887				    10.1
5898				    9.7
5909				    9.6
5920				    9.1
5931				    8.8
5942				    8.6
5953				    8.6
5964				    8.1
5976				    7.8
