0				    1
11				    1
22				    1
33				    1
45				    1
56				    1.6	
68				    2.0	
79				    2.1	
90				    2.1	
101				    3.7	
113				    4.6	
124				    4.6	
136				    6.1	
147				    6.1	
158				    8.8	
169				    9.0	
181				    9.4	
192				    9.4	
204				    9.4	
215				    9.3	
226				    9.3	
237				    9.4	
249				    9.4	
260				    10.2	
271				    10.2	
283				    10.2	
294				    10.2	
305				    12.5	
317				    12.5	
328				    12.5	
339				    11.9	
351				    11.7	
362				    11.7	
373				    12.6	
385				    12.3	
396				    12.3	
407				    12.4	
418				    12.0	
430				    11.7	
441				    11.7	
452				    11.7	
464				    10.4	
475				    10.4	
486				    10.6	
497				    10.6	
509				    10.4	
520				    10.4	
532				    10.2	
543				    10.2	
554				    9.9	
565				    9.9	
577				    9.5	
588				    9.5	
599				    9.5	
610				    9.5	
622				    9.5	
633				    9.5	
644				    9.1	
656				    9.0	
667				    8.6	
678				    8.5	
689				    8.4	
701				    8.0	
712				    8.0	
724				    8.3	
735				    8.3	
746				    8.4	
757				    8.4	
769				    8.4	
780				    8.4	
792				    8.6	
803				    8.7	
814				    8.8	
826				    8.9	
837				    9.1	
848				    9.1	
859				    9.1	
871				    9.5	
882				    9.5	
893				    9.5	
904				    9.5	
915				    9.5	
927				    9.4	
938				    9.4	
949				    9.4	
961				    9.4	
972				    9.3	
983				    9.3	
994				    9.3	
1006				    9.3	
1017				    9.2	
1028				    9.4	
1039				    9.4	
1051				    9.4	
1062				    9.8	
1073				    9.8	
1085				    9.8	
1096				    9.8	
1107				    9.8	
1119				    9.7	
1130				    9.7	
1141				    9.7	
1153				    9.6	
1164				    9.6	
1175				    9.6	
1187				    9.6	
1198				    9.6	
1209				    9.6	
1221				    9.6	
1232				    9.5	
1243				    8.9	
1255				    8.9	
1266				    8.9	
1277				    8.8	
1289				    8.7	
1300				    9.0	
1312				    9.0	
1324				    9.0	
1335				    9.3	
1347				    9.4	
1359				    9.5	
1370				    9.7	
1377				    9.7	
1384				    9.7	
1391				    9.7	
1398				    9.6	
1405				    9.6	
1412				    9.6	
1419				    9.7	
1425				    9.9	
1432				    10.1	
1439				    10.1	
1446				    10.1	
1453				    10.1	
1460				    10.1	
1467				    10.1	
1473				    10.1	
1480				    10.1	
1487				    10.1	
1494				    10.1	
1501				    10.0	
1508				    10.0	
1515				    10.0	
1522				    10.1	
1528				    10.1	
1535				    10.1	
1542				    10.1	
1549				    10.0	
1556				    10.0	
1562				    9.9	
1570				    10.0	
1578				    10.0	
1586				    10.0	
1594				    10.0	
1602				    10.0	
1610				    10.0	
1618				    10.0	
1626				    10.0	
1635				    10.0	
1643				    10.0	
1651				    9.9	
1659				    9.8	
1669				    9.8	
1678				    9.8	
1688				    9.8	
1698				    10.1	
1708				    10.3	
1717				    10.3	
1727				    10.8	
1736				    10.8	
1746				    11.0	
1756				    11.2	
1765				    11.2	
1775				    11.4	
1785				    11.5	
1796				    11.5	
1807				    11.6	
1819				    11.7	
1831				    11.9	
1842				    11.9	
1853				    11.9	
1865				    11.9	
1876				    11.9	
1887				    11.9	
1899				    12.1	
1910				    12.1	
1921				    12.3	
1933				    12.7	
1944				    12.7	
1956				    14.2	
1967				    15.1	
1978				    15.1	
1990				    15.3	
2001				    15.3	
2012				    15.2	
2024				    15.9	
2035				    16.1	
2046				    16.1	
2058				    15.9	
2069				    16.0	
2080				    16.1	
2092				    16.2	
2103				    16.2	
2115				    16.2	
2126				    16.2	
2138				    16.8	
2150				    16.9	
2161				    17.0	
2172				    16.9	
2184				    17.0	
2196				    17.1	
2207				    17.2	
2218				    17.4	
2230				    17.4	
2241				    17.4
2252				    17.4
2263				    17.3
2275				    17.2
2286				    17.4
2298				    17.5
2309				    17.5
2320				    17.0
2332				    18.1
2344				    18.2
2355				    18.1
2367				    18.1
2378				    17.9
2389				    17.8
2401				    17.5
2412				    17.5
2423				    17.3
2435				    16.9
2446				    16.9
2457				    16.3
2469				    16.2
2480				    15.9
2492				    15.9
2503				    15.7
2515				    15.5
2526				    15.4
2537				    15.1
2549				    15.1
2560				    14.8
2572				    14.8
2583				    14.3
2594				    14.3
2606				    14.1
2617				    14.1
2628				    14.0
2640				    13.5
2651				    13.5
2662				    13.5
2673				    13.4
2685				    13.1
2696				    12.8
2708				    12.6
2719				    12.6
2731				    12.6
2742				    12.3
2754				    12.1
2765				    12.1
2776				    12.0
2788				    11.7
2799				    11.7
2811				    11.4
2822				    11.3
2833				    11.3
2845				    10.9
2856				    10.8
2868				    10.8
2879				    10.7
2890				    10.7
2901				    10.3
2913				    10.3
2924				    10.2
2936				    10.1
2947				    9.9
2959				    9.8
2970				    9.8
2982				    9.5
2993				    9.3
3005				    9.2
3016				    9.1
3027				    9.0
3038				    9.0
3050				    8.8
3061				    8.6
3072				    8.6
3084				    8.4
3095				    6.6
3106				    6.6
3117				    6.3
3129				    6.3
3141				    6.1
3152				    5.9
3164				    5.8
3175				    5.7
3187				    5.4
3199				    5.4
3210				    5.2
3221				    5.0
3233				    5.0
3245				    4.6
3257				    4.6
3268				    4.4
3280				    4.4
3291				    4.3
3302				    3.9
3313				    3.8
3324				    3.6
3332				    3.6
3338				    3.6
3343				    3.6
3349				    3.6
3355				    3.2
3362				    3.2
3367				    3.2
3373				    3.1
3379				    3.1
3384				    3.0
3390				    3.0
3395				    3.0
3401				    2.7
3406				    2.7
3412				    2.7
3418				    2.5
3423				    2.5
3429				    2.4
3435				    2.4
3441				    2.3
3447				    2.3
3453				    2.2
3459				    2.1
3465				    2.1
3471				    2.1
3476				    1.9
3482				    1.9
3488				    1.9
3495				    1.8
3502				    1.8
3508				    1.8
3515				    1.8
3521				    1.7
3528				    1.6
3535				    1.6
3542				    1.5
3550				    1.5
3559				    1.5
3568				    1.5
3577				    1.3
3586				    1.3
3594				    1.3
3603				    1.3
3612				    1.2
3620				    1.2
3629				    1.2
3638				    1.1
3647				    1.1
3656				    3.3
3664				    3.7
3673				    4.6
3682				    4.9
3691				    4.8
3700				    4.8
3708				    4.8
3717				    4.8
3726				    5.4
3734				    4.7
3743				    4.7
3752				    4.6
3761				    45.6
3769				    45.6
3778				    45.6
3786				    48.1
3795				    48.1
3803				    48.1
3812				    52.8
3821				    52.9
3829				    47.3
3838				    47.3
3847				    47.3
3855				    34.8
3864				    33.9
3873				    32.0
3882				    29.9
3890				    25.6
3899				    25.1
3908				    22.6
3917				    22.4
3926				    21.3
3935				    21.3
3943				    21.3
3952				    19.2
3961				    17.5
3969				    17.5
3978				    16.1
3987				    15.9
3996				    15.1
4005				    15.0
4013				    14.5
4022				    13.8
4031				    13.5
4039				    12.3
4048				    12.3
4057				    12.3
4066				    12.3
4075				    11.8
4083				    11.1
4092				    10.6
4101				    10.3
4110				    10.1
4118				    10.0
4127				    10.0
4136				    9.8
4145				    9.8
4153				    9.8
4162				    9.8
4171				    9.8
4180				    9.6
4191				    9.3
4202				    9.2
4214				    9.1
4225				    8.7
4237				    8.4
4248				    8.4
4259				    8.4
4271				    8.4
4282				    8.4
4293				    8.4
4304				    8.7
4315				    8.7
4327				    8.9
4338				    8.9
4349				    9.0
4361				    9.1
4372				    9.1
4383				    9.1
4394				    9.1
4406				    8.9
4417				    9.0
4428				    9.6
4440				    9.7
4451				    9.7
4462				    9.7
4473				    9.7
4485				    9.6
4496				    9.6
4508				    9.6
4519				    9.5
4530				    9.5
4541				    9.5
4553				    9.5
4564				    9.5
4575				    9.5
4587				    9.5
4598				    9.3
4609				    9.2
4621				    9.2
4633				    9.2
4644				    9.2
4655				    9.2
4667				    9.2
4679				    9.2
4690				    9.0
4701				    9.0
4713				    9.0
4724				    9.0
4735				    8.8
4746				    8.8
4754				    8.7
4762				    8.8
4771				    9.3
4779				    9.3
4787				    9.2
4796				    9.2
4804				    9.2
4813				    9.0
4821				    8.7
4830				    8.7
4838				    8.7
4847				    8.7
4855				    8.8
4863				    8.8
4872				    8.8
4880				    8.8
4889				    8.8
4897				    8.8
4906				    8.8
4914				    8.8
4923				    8.8
4931				    8.8
4940				    8.8
4948				    8.8
4957				    8.8
4965				    8.8
4974				    8.6
4982				    8.6
4991				    8.6
4999				    8.5
5008				    8.3
5016				    8.3
5025				    8.3
5033				    8.3
5041				    8.3
5050				    7.9
5058				    7.9
5067				    7.9
5075				    7.9
5083				    7.5
5092				    7.4
5100				    7.2
5109				    7.1
5117				    7.1
5126				    6.8
5134				    6.8
5143				    6.8
5151				    6.8
5160				    6.8
5168				    6.8
5177				    6.8
5186				    6.8
5194				    6.8
5203				    6.8
5211				    6.7
5220				    6.9
5228				    6.9
5236				    6.9
5245				    6.9
5257				    6.9
5268				    6.9
5280				    6.9
5291				    6.8
5302				    7.0
5313				    7.0
5325				    6.9
5336				    7.0
5348				    7.0
5359				    7.0
5370				    7.0
5382				    6.9
5393				    6.9
5404				    6.9
5416				    6.9
5427				    6.9
5438				    6.9
5450				    6.9
5461				    6.9
5473				    6.9
5484				    6.9
5495				    6.9
5507				    6.9
5518				    6.9
5529				    6.9
5541				    6.9
5552				    6.9
5563				    6.9
5575				    6.9
5586				    6.9
5598				    6.9
5609				    6.9
5621				    6.4
5632				    6.6
5643				    6.6
5653				    6.7
5661				    6.7
5670				    6.7
5678				    6.7
5686				    6.7
5695				    6.7
5703				    6.8
5712				    6.8
5720				    6.7
5728				    6.7
5737				    6.7
5745				    6.7
5754				    6.7
5762				    6.6
5770				    6.7
5779				    6.7
5787				    6.7
5795				    6.7
5804				    6.7
5813				    6.7
5821				    6.6
5829				    6.6
5837				    6.6
5846				    6.6
5854				    6.6
5862				    6.8
5871				    6.8
5879				    6.8
5888				    6.8
5896				    6.8
5904				    11.0
5913				    12.1
5921				    12.1
5929				    12.3
5938				    12.5
5946				    12.5
5954				    12.4
5962				    12.6
5971				    12.6
5979				    12.6
5987				    12.6
5996				    12.8
6005				    12.8
6016				    12.9
6028				    12.8
6039				    12.6
6050				    12.8
6061				    12.9
6073				    13.4
6084				    13.1
6096				    13.1
6107				    12.8
6118				    12.8
6130				    12.8
6141				    13.2
6152				    13.4
6164				    13.4
6175				    13.1
6187				    12.8
6198				    12.7
6210				    12.6
6221				    12.6
6232				    12.6
6243				    12.6
6255				    12.4
6266				    12.4
6277				    12.4
6289				    12.1
6300				    12.1
6311				    11.7
6322				    11.4
6334				    11.3
6345				    11.3
6357				    11.0
6368				    11.0
6379				    10.8
6391				    10.8
6402				    10.4
6413				    10.3
6425				    10.2
6436				    10.2
6447				    10.2
6459				    10.5
6470				    10.5
6481				    10.5
6493				    10.2
6504				    10.4
6515				    10.4
6527				    10.4
6538				    10.4
6549				    10.7
6561				    11.0
6572				    10.9
6584				    10.9
6595				    11.4
6606				    11.4
6617				    11.4
6629				    11.2
6640				    11.0
6651				    10.9
6663				    10.8
6674				    10.8
6686				    10.7
6697				    10.6
6708				    10.7
6719				    10.7
6731				    10.8
6742				    10.8
6753				    11.0
6765				    11.1
6776				    11.0
6788				    10.8
6799				    10.8
6810				    10.8
6821				    10.8
6833				    10.7
6844				    10.6
6856				    10.6
6867				    10.5
6878				    10.9
6890				    10.9
6901				    10.9
6912				    10.9
6924				    10.9
6935				    11.0
6947				    11.0
6958				    11.0
6970				    10.9
6981				    10.9
6993				    11.0
7004				    10.9
7015				    10.9
7027				    10.9
7038				    11.1
7049				    11.0
7061				    11.0
7072				    11.0
7083				    11.1
7095				    11.0
7107				    11.0
