0				    1
12				    1
24				    1
36				    1
48				    1
59				    1
72				    2.0	
83				    2.0	
95				    2.1	
107				    2.1	
118				    2.5	
130				    2.8	
142				    2.8	
154				    3.0	
166				    4.3	
178				    4.4	
190				    5.0	
202				    5.2	
213				    5.2	
225				    6.0	
237				    6.3	
249				    6.4	
261				    6.4	
273				    6.3	
285				    6.3	
296				    5.5	
309				    5.5	
320				    5.6	
332				    6.0	
344				    6.2	
356				    6.2	
368				    6.5	
381				    6.9	
393				    7.0	
404				    7.0	
416				    7.0	
428				    7.2	
440				    7.4	
452				    7.5	
464				    7.9	
475				    8.1	
487				    9.0	
499				    9.0	
510				    9.2	
522				    9.1	
534				    8.9	
546				    8.7	
558				    8.7	
570				    8.7	
581				    8.3	
593				    8.2	
605				    8.2	
617				    8.2	
628				    8.2	
640				    8.2	
652				    8.0	
664				    8.0	
676				    7.7	
688				    7.7	
700				    7.4	
712				    7.3	
724				    7.3	
736				    7.3	
747				    7.3	
759				    7.3	
771				    7.0	
783				    6.9	
794				    6.9	
806				    6.8	
818				    6.6	
830				    6.6	
842				    6.6	
854				    6.6	
865				    6.5	
877				    6.5	
889				    6.3	
901				    6.3	
913				    6.3	
924				    6.2	
936				    6.0	
948				    6.0	
960				    6.0	
972				    6.1	
983				    6.2	
995				    6.2	
1007				    6.2	
1019				    6.3	
1031				    6.6	
1043				    6.9	
1054				    7.2	
1066				    7.3	
1078				    7.6	
1090				    7.8	
1102				    7.9	
1114				    7.9	
1125				    8.0	
1137				    8.1	
1150				    8.2	
1162				    8.3	
1173				    8.3	
1185				    8.4	
1197				    8.5	
1209				    8.5	
1221				    8.5	
1232				    8.5	
1244				    8.5	
1256				    8.5	
1268				    8.5	
1280				    8.5	
1291				    8.5	
1303				    8.5	
1315				    8.5	
1327				    8.3	
1339				    8.3	
1350				    8.1	
1363				    8.1	
1374				    8.1	
1386				    7.7	
1398				    7.5	
1410				    7.4	
1422				    7.3	
1434				    7.3	
1445				    7.2	
1457				    7.2	
1470				    7.2	
1481				    7.1	
1493				    7.1	
1504				    7.2	
1516				    7.3	
1527				    7.4	
1539				    7.4	
1550				    7.6	
1562				    7.6	
1573				    8.0	
1585				    8.1	
1596				    8.1	
1608				    8.1	
1620				    8.1	
1631				    8.0	
1643				    8.0	
1654				    8.0	
1666				    8.2	
1678				    8.3	
1689				    8.3	
1701				    8.3	
1712				    8.2	
1724				    8.4	
1735				    8.4	
1747				    8.5	
1758				    8.5	
1770				    8.7	
1781				    8.7	
