26226				    1
26237				    1
26248				    1
26259				    1
26270				    1
26281				    1
26292				    1
26304				    1
26315				    1
26326				    1
26337				    1.1	
26348				    1.8	
26359				    1.8	
26371				    1.8	
26382				    1.8	
26393				    1.8	
26404				    1.8	
26416				    1.8	
26427				    1.8	
26438				    1.8	
26449				    2.5	
26460				    3.8	
26471				    3.8	
26482				    3.9	
26493				    3.9	
26504				    3.9	
26515				    3.9	
26527				    3.9	
26538				    3.9	
26549				    3.9	
26560				    3.9	
26571				    3.9	
26582				    4.5	
26593				    4.8	
26604				    4.8	
26615				    4.9	
26626				    5.1	
26637				    5.1	
26648				    5.1	
26660				    5.3	
26671				    5.3	
26682				    5.3	
26694				    5.2	
26705				    5.2	
26716				    5.2	
26727				    5.2	
26738				    6.7	
26749				    7.1	
26761				    8.2	
26772				    8.7	
26783				    8.7	
26794				    9.8	
26805				    10.7	
26816				    11.1	
26828				    11.1	
26839				    11.1	
26850				    11.2	
26861				    11.2	
26872				    11.2	
26883				    11.2	
26894				    11.9	
26905				    12.0	
26916				    12.1	
26927				    12.1	
26938				    11.5	
26949				    12.0	
26960				    12.3	
26972				    12.8	
26983				    13.0	
26995				    13.4	
27007				    13.4	
27018				    13.9	
27029				    14.0	
27041				    14.1	
27052				    14.3	
27063				    14.5	
27074				    14.5	
27085				    14.5	
27096				    14.7	
27107				    14.7	
27118				    14.7	
27129				    14.7	
27140				    14.9	
27151				    14.8	
27163				    14.8	
27174				    14.6	
27185				    15.3	
27196				    15.4	
27207				    16.0	
27218				    16.2	
27230				    16.2	
27241				    16.1	
27252				    16.1	
27263				    16.5	
27274				    16.4	
27285				    16.4	
27296				    16.2	
27308				    16.2	
27318				    16.0	
27330				    17.1	
27341				    17.1	
27352				    17.1	
27363				    17.6	
27374				    17.5	
27385				    17.5	
27396				    17.7	
27407				    17.7	
27419				    18.3	
27430				    18.3	
27441				    18.4	
27452				    18.3	
27463				    18.2	
27474				    18.2	
27485				    18.2	
27497				    18.2	
27508				    18.2	
27519				    18.2	
27530				    18.1	
27541				    18.2	
27552				    18.4	
27563				    18.4	
27574				    18.2	
27585				    18.6	
27596				    18.6	
27608				    18.3	
27619				    18.3	
27630				    18.2	
27641				    17.6	
27652				    17.5	
27663				    17.3	
27674				    17.0	
27685				    16.9	
27696				    16.9	
27707				    16.7	
27718				    16.5	
27729				    16.4	
27740				    16.4	
27751				    16.4	
