39751				    1
39763				    1
39775				    1
39786				    1
39798				    1
39810				    2.2	
39822				    2.2	
39833				    2.2	
39845				    3.5	
39856				    5.0	
39868				    6.0	
39880				    7.0	
39891				    7.0	
39903				    9.4	
39915				    11.1	
39926				    14.0	
39938				    14.0	
39949				    14.0	
39961				    14.0	
39972				    14.5	
39984				    14.3	
39996				    14.3	
40007				    14.4	
40019				    15.6	
40030				    15.4	
40041				    15.4	
40053				    18.5	
40065				    18.5	
40076				    16.9	
40088				    17.0	
40100				    17.2	
40111				    17.2	
40123				    16.6	
40134				    16.6	
40146				    17.0	
40158				    17.1	
40170				    16.9	
40181				    16.9	
40193				    17.0	
40205				    16.8	
40216				    16.9	
40228				    16.8	
40239				    16.8	
40251				    16.6	
40263				    15.9	
40274				    16.0	
40286				    16.5	
40298				    16.5	
40309				    16.2	
40321				    16.2	
40333				    15.8	
40344				    16.0	
40356				    15.9	
40368				    16.0	
40379				    16.1	
40391				    16.0	
40403				    15.8	
40414				    15.8	
40426				    15.7	
40438				    15.8	
40449				    15.7	
40461				    15.7	
40473				    15.7	
40484				    15.5	
40496				    15.5	
40508				    15.3	
40520				    15.4	
40531				    15.4	
40543				    15.4	
40555				    15.2	
40566				    15.4	
40578				    15.4	
40590				    15.6	
40601				    15.6	
40613				    15.5	
40624				    15.4	
40636				    15.4	
40648				    15.5	
40659				    15.6	
40671				    15.6	
40682				    15.4	
40694				    15.4	
40706				    15.4	
40717				    15.4	
40729				    15.6	
40741				    15.6	
40752				    15.4	
40764				    15.2	
40777				    15.3	
40788				    15.3	
40799				    15.8	
40811				    15.7	
40822				    15.5	
40834				    15.6	
40846				    15.7	
40857				    15.9	
40869				    15.8	
40880				    15.7	
40892				    15.7	
40904				    15.4	
40915				    15.8	
40927				    15.8	
40939				    15.8	
