24360				    1
24370				    1
24381				    1
24392				    1
24403				    1
24414				    1
24425				    1
24435				    1
24446				    1.5	
24457				    1.6	
24468				    1.6	
24479				    1.6	
24489				    1.6	
24500				    1.6	
24511				    1.6	
24522				    1.6	
24533				    1.6	
24544				    1.6	
24555				    1.9	
24566				    1.9	
24577				    2.7	
24588				    2.9	
24599				    2.9	
24610				    2.9	
24621				    2.9	
24631				    2.9	
24642				    2.9	
24653				    2.9	
24664				    3.0	
24675				    3.7	
24685				    4.8	
24696				    4.9	
24707				    5.7	
24718				    5.7	
24729				    5.7	
24740				    5.7	
24751				    5.7	
24761				    5.7	
24772				    5.7	
24783				    5.7	
24794				    6.3	
24805				    6.3	
24816				    6.4	
24827				    7.8	
24838				    7.8	
24848				    7.9	
24859				    8.9	
24870				    8.9	
24881				    8.9	
24892				    8.9	
24903				    8.9	
24914				    8.6	
24924				    8.6	
24935				    8.6	
24946				    9.3	
24957				    9.3	
24968				    9.5	
24979				    10.7	
24989				    10.8	
25000				    11.2	
25011				    11.2	
25022				    11.1	
25033				    11.8	
25043				    11.8	
25054				    11.8	
25066				    11.9	
25076				    11.9	
25088				    11.9	
25099				    11.9	
25110				    12.0	
25121				    12.0	
25132				    11.8	
25143				    11.7	
25154				    11.7	
25165				    11.7	
25176				    11.3	
25187				    11.3	
25198				    11.4	
25209				    11.6	
25220				    11.7	
25231				    11.8	
25242				    12.4	
25253				    12.6	
25264				    12.5	
25275				    12.5	
25286				    12.7	
25297				    12.8	
25308				    12.9	
25319				    13.3	
25330				    13.3	
25340				    13.4	
25351				    13.6	
25362				    13.5	
25373				    13.5	
25384				    13.2	
25395				    13.5	
25406				    13.5	
25417				    13.5	
25428				    13.5	
25439				    13.5	
25450				    13.5	
25461				    14.2	
25471				    14.5	
25482				    14.5	
25493				    15.0	
25504				    15.0	
25516				    15.4	
25527				    15.4	
25538				    15.3	
25549				    15.3	
25560				    15.6	
25571				    15.6	
25582				    15.4	
25593				    15.8	
25604				    15.8	
25615				    15.8	
25626				    15.6	
25637				    15.6	
25648				    15.6	
25659				    15.8	
25670				    15.8	
25681				    15.8	
25692				    15.8	
25703				    15.8	
25714				    15.8	
25726				    15.7	
25737				    15.7	
25748				    15.6	
25759				    15.7	
25770				    15.8	
25781				    15.8	
25792				    15.7	
25802				    15.9	
25813				    15.9	
25824				    15.7	
25835				    15.9	
25846				    15.9	
25857				    15.9	
25868				    15.8	
25879				    15.8	
25890				    15.6	
25901				    15.5	
25912				    15.4	
