29985				    1
29997				    1
30009				    1
30021				    1
30032				    1
30044				    1
30056				    1
30067				    1
30079				    1
30091				    1.4	
30102				    1.4	
30114				    1.4	
30126				    1.4	
30138				    1.4	
30149				    1.4	
30161				    1.4	
30173				    1.4	
30185				    1.4	
30196				    1.4	
30208				    1.4	
30220				    2.2	
30232				    2.3	
30244				    2.7	
30256				    2.7	
30267				    2.7	
30279				    2.7	
30291				    2.7	
30302				    2.7	
30314				    2.7	
30326				    2.7	
30338				    2.7	
30349				    3.1	
30361				    4.5	
30373				    4.6	
30385				    4.9	
30396				    4.9	
30408				    4.9	
30420				    4.9	
30431				    4.9	
30443				    4.9	
30455				    6.4	
30466				    8.5	
30478				    8.5	
30489				    8.9	
30501				    10.3	
30513				    10.5	
30525				    10.5	
30537				    10.5	
30548				    10.5	
30560				    10.1	
30572				    10.1	
30583				    10.7	
30595				    11.5	
30607				    11.8	
30619				    13.6	
30630				    14.7	
30642				    14.9	
30654				    14.9	
30665				    14.7	
30677				    14.9	
30689				    14.9	
30701				    14.9	
30712				    14.9	
30724				    14.7	
30736				    14.7	
30748				    14.7	
30760				    14.7	
30771				    16.2	
30783				    16.8	
30795				    17.2	
30806				    17.2	
30818				    17.0	
30830				    17.1	
30842				    17.0	
30853				    17.0	
30865				    17.0	
30877				    17.1	
30888				    17.1	
30900				    19.0	
30912				    19.0	
30923				    19.0	
30935				    18.7	
30947				    19.1	
30959				    19.1	
30970				    19.1	
30982				    19.1	
30994				    19.1	
31006				    19.1	
31018				    19.4	
31029				    20.1	
31041				    20.1	
31053				    19.6	
31064				    20.2	
31076				    20.1	
31088				    19.9	
31096				    19.9	
31103				    19.9	
31109				    20.1	
31115				    20.1	
31121				    20.1	
31127				    19.4	
31133				    19.5	
31138				    19.4	
31144				    19.4	
31150				    19.4	
31156				    19.4	
31162				    20.1	
31168				    20.3	
31174				    20.3	
31180				    20.2	
31187				    20.2	
31193				    19.9	
31199				    20.8	
31205				    20.8	
31211				    20.8	
31217				    20.9	
31223				    21.0	
31229				    20.9	
31235				    20.7	
31241				    20.8	
31247				    20.8	
31254				    20.8	
31260				    20.7	
31267				    20.9	
31276				    21.0	
31286				    21.5	
31295				    21.5	
