0				    1
7				    1
13				    1
20				    1
27				    1
34				    1
41				    1
47				    1
54				    1
60				    2.2	
68				    2.2	
79				    2.2	
90				    2.2	
101				    2.2	
112				    2.6	
124				    6.0	
135				    6.3	
146				    6.3	
157				    7.9	
169				    8.5	
180				    11.3	
191				    11.3	
203				    11.3	
214				    10.4	
226				    11.9	
237				    11.9	
248				    16.1	
259				    16.1	
271				    15.8	
282				    16.3	
293				    16.3	
304				    17.5	
316				    17.9	
327				    17.9	
338				    16.9	
350				    16.1	
361				    15.8	
372				    15.1	
383				    15.3	
395				    15.2	
406				    15.2	
418				    14.8	
429				    14.7	
440				    14.8	
451				    14.7	
463				    14.7	
474				    14.3	
485				    14.0	
497				    14.0	
508				    13.9	
519				    13.7	
531				    13.6	
542				    13.6	
553				    13.6	
565				    12.9	
576				    12.7	
587				    12.3	
598				    12.3	
610				    12.1	
621				    12.1	
632				    11.8	
643				    12.1	
654				    12.1	
665				    12.0	
676				    12.0	
688				    12.1	
699				    12.0	
711				    11.9	
722				    11.8	
733				    11.8	
744				    11.8	
755				    11.6	
766				    11.6	
778				    11.5	
789				    11.4	
800				    11.4	
811				    11.4	
823				    11.4	
834				    11.4	
845				    11.5	
858				    11.6	
869				    11.9	
880				    11.9	
891				    11.9	
903				    11.8	
914				    12.0	
925				    12.0	
937				    12.1	
948				    12.1	
959				    11.9	
970				    11.9	
981				    12.0	
993				    12.2	
1004				    12.2	
1016				    12.2	
1027				    12.2	
1038				    12.1	
1049				    12.0	
1061				    11.9	
1072				    11.8	
1083				    11.9	
1094				    11.9	
1106				    11.9	
1117				    11.8	
1128				    11.8	
1139				    11.8	
1150				    11.8	
1162				    11.6	
1173				    11.5	
1184				    11.5	
1196				    11.4	
1208				    11.4	
1219				    11.3	
1230				    11.1	
1241				    11.1	
1252				    11.0	
1263				    10.8	
1274				    10.8	
1286				    10.8	
1297				    10.8	
1308				    10.8	
1319				    10.7	
1331				    10.7	
1343				    10.7	
1354				    10.7	
1365				    10.7	
1376				    10.7	
1388				    10.7	
1399				    10.7	
1411				    10.7	
1422				    10.7	
1434				    10.6	
1445				    10.6	
1456				    10.6	
1468				    10.6	
1479				    10.6	
1490				    10.5	
1501				    10.5	
1513				    10.4	
1524				    10.4	
1535				    10.3	
1547				    10.3	
1559				    10.3	
1570				    10.3	
1581				    10.3	
1593				    10.3	
1604				    10.2	
1615				    10.2	
1626				    10.2	
1638				    10.2	
1649				    10.2	
1660				    10.2	
1672				    10.2	
1683				    10.2	
1694				    10.2	
1705				    10.2	
1716				    10.1	
1727				    10.2	
1739				    10.2	
1750				    10.1	
1762				    10.1	
1773				    10.1	
1785				    10.1	
1796				    10.1	
1807				    10.1	
1819				    10.1	
1830				    10.1	
1841				    10.1	
1852				    10.1	
1864				    10.1	
1875				    10.1	
1886				    10.1	
1897				    10.1	
1909				    10.1	
1920				    10.1	
1931				    10.0	
1943				    10.0	
1954				    9.9	
1966				    9.9	
1977				    9.9	
1988				    9.9	
1999				    9.8	
2010				    9.8	
2021				    9.8	
2033				    9.7	
2044				    9.7	
2055				    9.6	
2066				    9.6	
2078				    9.6	
2089				    9.5	
2100				    9.5	
2111				    9.5	
2123				    9.4	
2134				    9.4	
2145				    9.4	
2156				    9.4	
2167				    9.4	
2179				    9.3	
2190				    9.3	
2202				    9.2	
2213				    9.2	
2224				    9.2	
2236				    9.2	
2247				    9.2	
2258				    9.1	
2269				    9.1	
2280				    9.1	
2291				    9.1	
2302				    9.1	
2314				    9.1	
2325				    9.1	
2337				    9.2	
2348				    9.2	
2359				    9.2	
2370				    9.2	
2381				    9.2	
2392				    9.1	
2404				    9.1	
2416				    9.1	
2427				    9.2	
2438				    9.2	
2449				    9.2	
2460				    9.3	
2472				    9.3	
2483				    9.3	
2494				    9.3	
2505				    9.4	
2516				    9.4	
2528				    9.4	
2539				    9.4	
2550				    9.4	
