4161				    1
4172				    1
4183				    1
4195				    1
4206				    3.1	
4218				    3.1	
4229				    3.1	
4240				    5.4	
4252				    7.6	
4263				    7.6	
4274				    12.7	
4286				    14.3	
4298				    15.1	
4309				    17.7	
4320				    24.7	
4332				    31.2	
4344				    37.6	
4355				    45.5	
4366				    44.4	
4378				    61.7	
4389				    66.8	
4401				    92.9	
4412				    100.6	
4424				    100.3	
4435				    84.0	
4447				    76.8	
4459				    89.2	
4470				    98.2	
4482				    105.9	
4493				    104.3	
4505				    99.9	
4516				    98.9	
