8074				    1
8085				    1
8096				    1
8107				    1.0	
8118				    3.0	
8129				    3.0	
8140				    3.8	
8151				    4.6	
8163				    9.6	
8174				    9.6	
8185				    10.2	
8196				    12.9	
8207				    20.2	
8218				    20.2	
8229				    25.4	
8240				    24.3	
8251				    25.9	
8262				    32.4	
8273				    37.6	
8284				    37.4	
8296				    60.8	
8307				    62.9	
8318				    58.3	
8329				    47.9	
8341				    46.1	
8352				    46.1	
8363				    38.2	
8374				    34.4	
8385				    40.6	
8396				    40.2	
8409				    36.2	
8420				    42.0	
8431				    47.5	
8442				    48.5	
8454				    48.3	
8465				    44.6	
8476				    44.6	
8487				    43.3	
8498				    39.4	
8509				    40.8	
8520				    41.7	
8531				    41.2	
8542				    39.7	
8553				    39.0	
8565				    39.8	
8576				    39.8	
8587				    38.4	
8598				    36.6	
8610				    35.2	
8621				    39.2	
8632				    39.5	
