4270				    1
4282				    1
4294				    1
4305				    1
4316				    1
4327				    1
4338				    1
4349				    2.2	
4360				    2.3	
4372				    2.3	
4382				    2.3	
4394				    2.3	
4405				    2.3	
4416				    2.3	
4428				    2.3	
4439				    2.3	
4450				    2.3	
4461				    2.8	
4472				    3.8	
4484				    3.8	
4494				    3.8	
4506				    3.8	
4518				    3.8	
4529				    3.8	
4540				    3.8	
4551				    3.8	
4562				    3.8	
4573				    4.4	
4584				    4.9	
4596				    5.7	
4607				    6.4	
4618				    6.5	
4629				    6.5	
4640				    6.5	
4651				    6.5	
4663				    6.5	
4674				    6.5	
4685				    6.5	
4696				    6.5	
4707				    7.3	
4718				    7.3	
4729				    7.3	
4741				    10.7	
4751				    12.3	
4762				    12.7	
4773				    12.7	
4784				    12.7	
4796				    12.7	
4807				    12.7	
4819				    12.7	
4830				    12.7	
4841				    14.1	
4852				    14.2	
4863				    18.3	
4874				    20.1	
4885				    20.7	
4896				    22.2	
4908				    22.2	
4919				    21.7	
4930				    21.5	
4941				    21.5	
4953				    21.5	
4964				    24.9	
4975				    27.8	
4986				    27.8	
4997				    26.9	
5008				    26.9	
5020				    26.2	
5031				    30.7	
5042				    32.6	
5053				    36.8	
5065				    36.8	
5076				    39.3	
5087				    39.0	
5098				    39.1	
5110				    39.1	
5121				    39.1	
5132				    39.1	
5144				    40.6	
5155				    42.2	
5167				    42.2	
5178				    42.2	
5189				    42.9	
5201				    42.2	
5212				    41.5	
5223				    41.5	
5234				    41.5	
5246				    41.5	
5257				    40.0	
5268				    42.4	
5279				    42.4	
5290				    42.4	
5303				    42.4	
5314				    42.4	
5325				    42.4	
5336				    42.4	
5348				    42.4	
5359				    42.4	
5369				    42.4	
5381				    42.4	
5392				    42.4	
5403				    42.4	
5414				    42.4	
5426				    42.4	
5437				    42.4	
5448				    42.4	
5460				    42.4	
5471				    42.4	
5483				    42.4	
5494				    42.4	
5505				    42.4	
5516				    42.4	
5527				    42.4	
5538				    42.4	
