3166				    1
3177				    1
3187				    1
3199				    1
3210				    1
3221				    1
3231				    1
3243				    1
3254				    1.0	
3265				    1.9	
3276				    1.9	
3287				    1.9	
3298				    1.9	
3309				    1.9	
3320				    1.9	
3331				    1.9	
3343				    1.9	
3354				    3.3	
3365				    3.5	
3374				    4.2	
3381				    4.2	
3388				    4.2	
3394				    4.2	
3401				    4.2	
3408				    4.2	
3415				    4.2	
3422				    4.2	
3429				    4.2	
3435				    4.2	
3442				    4.2	
3449				    4.2	
3456				    4.2	
3462				    4.2	
3470				    4.2	
3478				    5.5	
3484				    5.5	
3491				    5.5	
3497				    5.5	
3504				    5.5	
3511				    6.4	
3518				    6.4	
3524				    6.4	
3531				    6.4	
3538				    6.4	
3544				    10.0	
3551				    12.5	
3558				    15.8	
3565				    15.8	
3573				    15.8	
3585				    15.8	
3597				    15.8	
3610				    15.8	
3621				    15.8	
3632				    15.8	
3644				    15.8	
3652				    15.8	
3659				    13.7	
3666				    12.6	
3673				    15.0	
3679				    15.0	
3686				    15.0	
3693				    15.0	
3700				    13.8	
3706				    13.8	
3713				    15.2	
3720				    15.1	
3727				    15.6	
3734				    15.8	
3741				    15.8	
3748				    15.8	
3754				    15.8	
3761				    15.8	
3768				    15.8	
3774				    15.8	
3781				    15.8	
3788				    15.8	
3794				    15.8	
3801				    15.8	
3808				    15.8	
3814				    15.8	
3821				    16.6	
3827				    18.1	
3834				    18.5	
3841				    18.3	
3848				    18.1	
3855				    18.1	
3861				    18.1	
3868				    18.1	
3874				    18.0	
3881				    18.0	
3888				    18.0	
3895				    18.0	
3902				    18.1	
3908				    18.0	
3915				    18.1	
3922				    18.1	
3928				    18.1	
3935				    25.0	
3941				    25.0	
3948				    25.3	
3955				    25.3	
3962				    25.3	
3969				    25.3	
3976				    25.3	
3983				    25.3	
3990				    25.3	
3996				    25.3	
4003				    25.3	
4010				    25.3	
4017				    25.3	
4024				    25.3	
4030				    25.4	
4037				    25.4	
4044				    25.4	
4051				    29.0	
4057				    29.0	
4064				    29.0	
4071				    29.0	
4078				    32.7	
4085				    32.7	
4092				    32.7	
4098				    33.2	
4105				    33.2	
4112				    33.5	
4118				    33.5	
4125				    35.3	
4132				    35.3	
4139				    35.6	
4146				    35.6	
4153				    35.6	
4160				    35.4	
4167				    35.4	
4173				    35.4	
4180				    35.4	
4186				    35.4	
4193				    35.4	
4200				    35.4	
4206				    35.4	
4213				    35.4	
4219				    35.4	
4226				    35.4	
4233				    35.4	
4240				    35.4	
4248				    35.4	
4261				    35.4	
4274				    35.4	
4287				    35.4	
4299				    35.4	
