4937				    1
4949				    1
4960				    1
4972				    1
4983				    1
4994				    1
5005				    1
5016				    1
5027				    1
5039				    1
5050				    1.5	
5062				    1.8	
5073				    1.8	
5084				    1.8	
5095				    1.8	
5107				    1.8	
5118				    1.8	
5129				    1.8	
5140				    1.8	
5151				    1.8	
5163				    1.8	
5175				    1.8	
5187				    1.8	
5198				    1.8	
5209				    1.8	
5220				    1.8	
5231				    1.8	
5242				    1.8	
5254				    1.7	
5265				    2.2	
5276				    2.2	
5288				    2.2	
5299				    2.2	
5310				    2.2	
5322				    2.2	
5333				    2.2	
5344				    2.2	
5356				    2.2	
5367				    2.2	
5378				    2.2	
5390				    2.2	
5401				    2.2	
5412				    3.7	
5423				    5.0	
5434				    5.5	
5446				    5.5	
5457				    5.5	
5468				    5.5	
5479				    5.5	
5490				    5.5	
5501				    5.5	
5512				    5.5	
5523				    5.5	
5535				    5.5	
5546				    7.6	
5557				    7.6	
5568				    9.9	
5580				    11.7	
5591				    11.7	
5603				    11.7	
5614				    11.7	
5626				    11.7	
5637				    11.7	
5648				    11.7	
5660				    11.7	
5672				    12.8	
5683				    16.5	
5694				    16.5	
5702				    16.8	
5711				    17.5	
5719				    19.1	
5728				    19.3	
5736				    19.5	
5745				    19.5	
5753				    19.5	
5762				    19.5	
5770				    19.5	
5778				    19.5	
5787				    19.5	
5795				    19.5	
5804				    19.5	
5812				    19.5	
5820				    19.6	
5829				    19.7	
5837				    24.7	
5847				    24.7	
5855				    24.7	
5863				    24.7	
5872				    25.3	
5880				    26.2	
5888				    29.3	
5897				    29.7	
5905				    30.1	
5913				    30.0	
5921				    30.0	
5930				    32.1	
5938				    32.1	
5947				    32.1	
5955				    32.1	
5963				    32.1	
5973				    32.1	
5986				    32.1	
5999				    32.2	
6013				    32.2	
6027				    30.8	
6039				    30.8	
6052				    33.8	
6063				    34.4	
6072				    31.6	
6081				    31.5	
6091				    31.5	
6099				    32.6	
6108				    33.0	
6117				    34.2	
6126				    34.1	
6135				    33.5	
6144				    33.5	
6153				    33.5	
6162				    33.5	
6171				    33.5	
6180				    33.5	
6189				    33.5	
6198				    33.5	
6207				    33.5	
6216				    33.5	
6226				    33.5	
6235				    33.5	
6244				    33.5	
6253				    33.5	
6262				    33.5	
6271				    33.5	
6280				    33.5	
6289				    33.5	
6299				    33.5	
6307				    33.5	
6316				    33.5	
6325				    33.5	
6334				    33.5	
6344				    33.5	
