3485				    1
3492				    1
3499				    1
3505				    1
3512				    1
3518				    1
3524				    1
3531				    2.0	
3538				    2.0	
3545				    2.0	
3553				    4.2	
3560				    5.2	
3568				    8.5	
3576				    9.7	
3583				    9.7	
3591				    13.9	
3598				    17.9	
3606				    19.4	
3614				    21.4	
3625				    27.8	
3636				    34.8	
3647				    39.1	
3658				    43.0	
3669				    46.0	
3679				    43.7	
3690				    41.3	
3701				    41.3	
3712				    58.9	
3723				    69.3	
3734				    75.8	
3745				    88.6	
3756				    96.1	
3767				    105.5	
3778				    102.4	
3788				    102.4	
3799				    93.1	
3810				    93.1	
3821				    79.3	
3832				    77.2	
3843				    79.7	
3854				    84.0	
3865				    84.0	
3876				    84.0	
3887				    84.0	
3897				    84.0	
3908				    84.0	
3919				    84.0	
3930				    84.0	
3941				    84.0	
3952				    84.0	
3962				    84.0	
