1221				    1
1232				    1
1244				    1
1255				    1
1266				    1
1277				    2.0	
1288				    2.0	
1299				    2.0	
1310				    2.0	
1321				    2.0	
1332				    2.0	
1343				    2.0	
1355				    2.0	
1366				    2.5	
1377				    4.4	
1388				    4.4	
1399				    4.4	
1410				    4.4	
1421				    4.4	
1432				    4.4	
1443				    4.4	
1454				    4.8	
1465				    8.1	
1477				    9.1	
1488				    9.1	
1499				    9.1	
1510				    9.1	
1521				    9.1	
1532				    9.1	
1543				    9.8	
1554				    11.2	
1565				    18.8	
1576				    18.8	
1587				    18.8	
1598				    18.8	
1609				    18.8	
1620				    18.8	
1631				    18.8	
1643				    18.8	
1654				    18.8	
1665				    19.2	
1676				    22.1	
1687				    22.8	
1698				    25.1	
1709				    25.8	
1720				    25.8	
1732				    25.8	
1743				    25.8	
1754				    25.8	
1765				    25.8	
1776				    25.8	
1787				    25.8	
1798				    25.8	
1809				    25.8	
1820				    24.4	
1831				    24.0	
1842				    26.0	
1854				    25.9	
1865				    25.6	
1876				    28.1	
1887				    31.5	
1898				    32.4	
1909				    33.5	
1920				    34.6	
1931				    34.6	
1942				    34.6	
1954				    34.6	
1965				    34.6	
1976				    34.6	
1987				    34.6	
1998				    40.9	
2009				    43.8	
2020				    45.1	
2031				    45.9	
2042				    45.9	
2053				    45.9	
