4614				    1
4626				    1
4637				    1
4648				    1
4659				    1
4671				    1
4681				    1
4692				    1
4704				    1
4715				    1.0	
4726				    1.9	
4737				    1.9	
4748				    1.9	
4759				    1.9	
4770				    1.9	
4781				    1.9	
4792				    1.9	
4803				    1.9	
4814				    1.9	
4825				    1.9	
4836				    2.5	
4847				    3.7	
4858				    3.7	
4870				    3.7	
4881				    3.7	
4893				    3.7	
4904				    3.7	
4915				    3.7	
4926				    3.7	
4937				    3.7	
4948				    7.7	
4959				    8.3	
4970				    8.3	
4981				    8.3	
4993				    8.3	
5004				    8.3	
5016				    8.3	
5027				    8.3	
5038				    8.3	
5049				    8.6	
5060				    11.3	
5072				    13.9	
5083				    14.5	
5094				    14.5	
5105				    14.5	
5116				    14.5	
5127				    14.5	
5138				    14.5	
5150				    14.5	
5161				    14.5	
5172				    14.5	
5183				    14.5	
5194				    14.1	
5205				    14.0	
5216				    14.1	
5227				    14.1	
5239				    16.0	
5250				    16.0	
5261				    16.0	
5272				    14.5	
5283				    15.9	
5294				    15.9	
5305				    15.9	
5316				    15.9	
5328				    15.9	
5339				    17.3	
5350				    20.8	
5362				    23.6	
5373				    29.1	
5384				    32.9	
5395				    33.8	
5406				    34.2	
5418				    39.7	
5429				    44.2	
5440				    44.2	
5451				    44.2	
5462				    44.2	
5473				    44.2	
5484				    44.2	
5496				    44.2	
5507				    44.2	
5518				    44.2	
5529				    44.2	
5540				    44.2	
5551				    40.1	
5562				    40.1	
5573				    40.1	
5584				    33.4	
5595				    32.6	
5606				    34.8	
5617				    35.4	
