6216				    1
6228				    1
6239				    1
6250				    1
6262				    1
6273				    1
6284				    1
6296				    1
6307				    1.4	
6318				    1.6	
6329				    1.6	
6340				    1.6	
6351				    1.6	
6363				    3.9	
6374				    7.0	
6385				    7.0	
6396				    7.0	
6407				    7.0	
6418				    9.0	
6429				    13.1	
6440				    14.6	
6451				    14.6	
6462				    19.6	
6473				    30.5	
6484				    30.5	
6496				    31.6	
6507				    31.6	
6517				    23.4	
6529				    27.3	
6540				    27.0	
6551				    27.0	
6562				    23.4	
6573				    22.6	
6584				    30.9	
6595				    33.3	
6607				    39.0	
6619				    39.1	
6630				    37.1	
6641				    38.8	
6652				    41.3	
6663				    43.0	
6674				    43.0	
6685				    44.1	
6696				    44.1	
6707				    47.0	
6718				    46.0	
6730				    46.0	
6741				    53.3	
6752				    52.4	
6763				    52.4	
6774				    52.5	
6785				    52.5	
6796				    54.8	
6807				    54.8	
6818				    53.6	
6829				    53.4	
6840				    53.3	
6851				    53.0	
6863				    53.0	
6874				    53.0	
6885				    51.5	
6896				    51.5	
6907				    51.5	
6918				    51.5	
6930				    51.5	
6941				    51.5	
6952				    51.5	
6964				    51.5	
6975				    51.5	
6986				    51.5	
6997				    51.5	
7008				    51.5	
7020				    51.5	
7031				    51.5	
7042				    51.5	
7053				    51.5	
7065				    51.5	
7076				    51.5	
7087				    51.5	
7098				    51.5	
7109				    51.5	
7120				    51.5	
7131				    51.5	
7142				    51.5	
7153				    51.5	
7164				    51.5	
