3326				    
3334				    2.9	
3342				    2.9	
3351				    2.9	
3359				    2.9	
3367				    4.1	
3376				    5.5	
3384				    5.5	
3392				    5.5	
3401				    9.2	
3409				    9.7	
3417				    10.0	
3426				    10.1	
3434				    10.1	
3442				    11.2	
3450				    20.3	
3459				    22.6	
3470				    25.0	
3481				    28.7	
3493				    31.3	
3504				    31.0	
3515				    31.0	
3526				    33.8	
3538				    56.1	
3549				    51.7	
3560				    59.9	
3571				    65.9	
3583				    58.3	
3594				    67.2	
3605				    60.4	
3616				    59.7	
3628				    47.3	
3639				    44.9	
3651				    47.4	
3663				    50.0	
3674				    50.2	
3686				    50.2	
3697				    47.9	
3708				    45.2	
3719				    43.6	
3730				    45.8	
3742				    46.1	
3753				    45.8	
3764				    45.5	
3774				    44.4	
3782				    49.1	
3791				    49.6	
3799				    48.1	
