10242				    
10254				    1
10265				    1
10276				    1
10287				    1
10299				    1
10310				    1
10321				    1
10332				    2.2	
10343				    2.2	
10354				    2.2	
10366				    2.2	
10377				    2.2	
10388				    2.2	
10399				    2.2	
10411				    2.2	
10422				    2.2	
10433				    2.2	
10445				    4.0	
10456				    4.0	
10467				    4.0	
10478				    4.0	
10489				    5.3	
10501				    5.7	
10512				    5.7	
10523				    5.7	
10534				    5.7	
10546				    5.7	
10557				    5.7	
10568				    5.7	
10579				    4.9	
10590				    4.8	
10602				    5.8	
10613				    5.8	
10624				    5.8	
10635				    5.8	
10646				    5.8	
10657				    13.9	
10668				    22.0	
10679				    24.3	
10691				    24.3	
10702				    34.4	
10713				    35.4	
10725				    49.1	
10736				    59.1	
10747				    59.1	
10758				    61.4	
10769				    61.4	
10780				    61.4	
10791				    61.4	
10802				    61.4	
10814				    56.3	
10825				    41.3	
10836				    37.6	
10847				    31.2	
10858				    31.8	
10869				    30.9	
10881				    30.7	
10892				    30.2	
10903				    30.2	
10914				    33.1	
10925				    33.2	
10937				    35.4	
10948				    35.4	
10959				    35.4	
10970				    39.6	
10981				    49.1	
10992				    52.6	
11003				    59.2	
11014				    58.6	
