7430				    1
7441				    1
7452				    1
7463				    1
7474				    1.6	
7486				    2.8	
7497				    2.8	
7508				    2.8	
7519				    6.0	
7530				    9.9	
7541				    9.9	
7552				    9.9	
7563				    15.9	
7575				    20.5	
7586				    20.5	
7597				    21.2	
7608				    21.1	
7619				    24.7	
7630				    26.3	
7641				    26.2	
7652				    25.0	
7663				    25.0	
7675				    27.7	
7686				    28.1	
7697				    30.7	
7708				    37.5	
7720				    40.1	
7731				    44.3	
7743				    51.4	
7754				    54.9	
7765				    58.0	
7777				    55.8	
7788				    60.0	
7799				    69.6	
7810				    75.4	
7821				    75.8	
7832				    78.2	
7843				    74.5	
7855				    76.0	
7866				    85.3	
7877				    85.3	
