2765				    1
2777				    1
2788				    1
2799				    1.4	
2810				    3.4	
2821				    3.4	
2833				    6.3	
2844				    8.9	
2856				    12.4	
2867				    17.1	
2878				    20.4	
2889				    23.6	
2901				    32.6	
2912				    34.2	
2923				    39.2	
2934				    37.9	
2945				    63.0	
2957				    70.0	
2968				    86.7	
2979				    84.8	
2991				    79.4	
3002				    87.6	
3013				    86.6	
3025				    92.3	
3036				    86.8	
3047				    89.2	
3058				    89.2	
3069				    107.7	
3081				    103.2	
