10447				    1
10458				    1
10469				    1
10481				    1
10491				    1
10502				    3.2	
10513				    3.2	
10524				    3.2	
10535				    3.2	
10546				    3.2	
10557				    3.2	
10569				    6.8	
10580				    6.8	
10591				    6.8	
10601				    6.8	
10612				    6.8	
10623				    6.8	
10634				    8.0	
10645				    10.0	
10656				    10.5	
10667				    10.7	
10678				    10.7	
10689				    10.7	
10700				    10.7	
10711				    10.7	
10721				    12.1	
10732				    13.0	
10743				    14.1	
10754				    15.3	
10765				    17.2	
10776				    17.2	
10787				    17.2	
10798				    17.2	
10809				    17.6	
10820				    19.7	
10831				    19.6	
10842				    20.2	
10853				    20.2	
10864				    20.2	
10875				    20.2	
10885				    20.2	
10897				    16.0	
10908				    22.1	
10919				    22.1	
10930				    22.1	
10941				    23.9	
10952				    26.3	
10963				    29.6	
10974				    31.0	
10985				    35.4	
10996				    46.3	
11007				    47.9	
11017				    48.5	
11028				    46.7	
11040				    45.7	
11050				    44.1	
11061				    43.0	
11072				    42.0	
11083				    40.4	
11094				    40.4	
11105				    40.4	
11116				    40.4	
11127				    39.2	
11138				    38.1	
11149				    35.6	
11160				    38.8	
11170				    38.2	
11181				    38.0	
11192				    38.4	
11203				    38.3	
