10145				    1
10155				    1
10166				    1
10177				    1
10189				    1.2	
10199				    2.6	
10210				    2.6	
10221				    2.6	
10232				    3.3	
10243				    3.3	
10254				    4.3	
10265				    6.7	
10276				    8.7	
10287				    8.7	
10298				    14.4	
10309				    14.1	
10320				    13.8	
10331				    16.3	
10342				    20.8	
10353				    23.3	
10364				    22.6	
10375				    25.4	
10385				    27.9	
10396				    28.6	
10407				    28.3	
10418				    25.7	
10429				    23.8	
10439				    23.8	
10450				    22.9	
10461				    22.4	
10471				    21.8	
10482				    22.8	
10493				    22.9	
10505				    22.9	
10516				    22.3	
10527				    21.3	
10538				    20.9	
10550				    20.1	
10560				    20.1	
10572				    20.0	
10582				    20.1	
10593				    20.1	
10604				    19.2	
10615				    18.8	
10625				    18.6	
10636				    17.7	
10647				    17.6	
10658				    17.0	
10669				    17.0	
10679				    17.0	
10690				    16.2	
10702				    15.8	
10712				    16.3	
10723				    16.8	
10734				    16.5	
10745				    16.2	
10757				    16.1	
10768				    16.3	
10779				    16.5	
10790				    16.5	
10800				    16.5	
10811				    16.3	
10823				    16.5	
10834				    16.5	
10845				    17.0	
10856				    16.9	
10867				    16.9	
10877				    17.2	
10888				    17.2	
10899				    17.2	
10910				    17.2	
10921				    17.2	
10932				    18.1	
10943				    18.3	
10954				    18.3	
10965				    18.3	
10976				    17.9	
10987				    18.0	
10999				    18.2	
11010				    18.2	
11020				    18.0	
11031				    18.0	
11043				    17.9	
11054				    17.9	
11065				    17.9	
11076				    17.9	
11087				    17.9	
11098				    18.2	
11108				    18.2	
11119				    18.5	
11130				    18.4	
11141				    18.3	
11152				    18.0	
11163				    18.0	
11174				    17.7	
11185				    17.7	
11196				    17.4	
11206				    17.4	
11217				    17.3	
