0				    
8				    1
16				    1
24				    1
33				    1
41				    1
50				    1
58				    1
67				    2.2	
78				    2.2	
89				    2.2	
101				    2.2	
112				    2.5	
123				    5.7	
135				    5.7	
146				    5.7	
157				    6.7	
164				    8.1	
171				    8.1	
178				    10.8	
184				    10.8	
191				    10.8	
198				    10.3	
205				    10.4	
211				    15.1	
218				    17.4	
225				    17.4	
231				    18.3	
238				    18.8	
245				    18.8	
251				    21.4	
258				    22.0	
265				    22.9	
272				    22.9	
278				    22.8	
285				    22.8	
292				    22.8	
298				    22.8	
305				    22.8	
311				    18.2	
318				    16.3	
325				    18.7	
332				    22.0	
344				    22.2	
355				    21.4	
366				    21.4	
377				    20.4	
388				    20.2	
399				    18.7	
410				    18.7	
421				    19.0	
433				    19.0	
444				    21.7	
455				    21.5	
466				    21.7	
478				    21.2	
489				    20.3	
500				    20.1	
511				    19.5	
523				    19.5	
534				    18.7	
545				    18.9	
557				    19.3	
568				    19.6	
579				    19.5	
591				    19.1	
602				    19.1	
613				    19.5	
624				    19.4	
635				    19.3	
646				    20.3	
658				    20.2	
669				    21.2	
681				    21.2	
692				    21.2	
703				    21.2	
715				    20.3	
727				    20.2	
738				    20.0	
749				    19.6	
761				    19.6	
772				    19.8	
783				    19.9	
795				    19.9	
807				    19.7	
818				    20.0	
830				    19.9	
841				    20.4	
852				    20.4	
863				    19.9	
875				    19.5	
886				    19.4	
897				    20.6	
909				    20.6	
920				    19.9	
931				    20.1	
943				    20.0	
954				    20.0	
965				    19.9	
976				    20.0	
988				    20.0	
999				    19.9	
1010				    19.9	
1021				    20.2	
1033				    20.1	
1044				    20.0	
1055				    20.1	
1066				    20.0	
1078				    20.0	
1089				    20.1	
1101				    20.5	
1112				    20.6	
1124				    20.6	
1135				    21.0	
1146				    21.0	
1157				    21.0	
1169				    21.0	
1180				    20.8	
1192				    20.7	
1203				    20.7	
1214				    20.7	
1226				    20.7	
1237				    20.7	
1248				    20.7	
1260				    20.2	
1271				    20.2	
1282				    19.7	
1294				    19.8	
1305				    19.8	
1316				    19.7	
1327				    19.7	
1338				    19.7	
1350				    19.7	
1361				    19.5	
1373				    19.5	
1384				    19.6	
1396				    19.6	
1407				    19.3	
1418				    19.3	
1430				    19.3	
1441				    19.3	
1452				    19.5	
1463				    19.7	
1474				    19.6	
1486				    19.6	
1498				    19.6	
1509				    19.2	
1520				    19.1	
1531				    19.1	
1542				    19.0	
1554				    18.9	
1565				    18.7	
1576				    18.7	
1588				    18.7	
1599				    18.4	
1610				    18.4	
1622				    18.6	
1633				    18.7	
1644				    18.7	
1655				    18.5	
1666				    18.1	
1677				    18.3	
1688				    18.4	
1699				    18.3	
1711				    18.7	
1722				    18.7	
1733				    18.6	
1744				    18.5	
1755				    18.5	
1766				    18.4	
1777				    18.3	
1789				    18.3	
1800				    18.2	
1812				    18.3	
1823				    18.3	
1835				    18.2	
1846				    18.1	
1858				    18.1	
1870				    18.1	
1882				    18.0	
1893				    18.0	
1905				    18.0	
1916				    18.1	
1928				    18.3	
1939				    18.3	
1950				    18.3	
1962				    18.2	
1973				    18.1	
1984				    18.1	
1996				    18.3	
2007				    18.3	
2018				    18.3	
2030				    18.2	
2041				    18.3	
2053				    18.3	
2065				    18.3	
2076				    18.3	
2088				    18.3	
2099				    18.3	
2111				    18.3	
2122				    18.2	
2133				    18.2	
2145				    18.2	
2157				    18.2	
2168				    18.2	
2180				    18.3	
2191				    18.3	
2203				    18.3	
2214				    18.4	
2225				    18.5	
2237				    18.6	
2248				    18.6	
2259				    18.6	
2271				    18.7	
2282				    18.8	
2293				    18.9	
2305				    20.0	
2316				    20.0	
2328				    20.0	
2339				    20.2	
2351				    20.6	
2362				    20.6	
2373				    20.5	
2381				    20.5	
2390				    20.4	
2398				    20.4	
2407				    20.4	
2415				    20.4	
2423				    20.7	
2431				    20.7	
2440				    20.7	
2448				    20.7	
2456				    20.7	
2465				    20.7	
2473				    20.6	
2481				    20.6	
2490				    20.6	
2498				    20.8	
2506				    20.8	
2514				    20.9	
2523				    20.9	
2531				    20.9	
2540				    20.9	
2549				    20.9	
2557				    21.2	
2566				    21.2	
2574				    21.2	
2583				    21.4	
2591				    21.5	
2599				    21.5	
2608				    21.5	
2616				    21.5	
2625				    21.4	
2633				    21.4	
2642				    21.3	
2650				    21.4	
2659				    21.4	
2667				    21.4	
2675				    21.4	
2684				    21.4	
2692				    21.4	
2700				    21.4	
2709				    21.5	
2717				    21.6	
2725				    21.7	
2734				    21.7	
2742				    21.7	
2750				    21.7	
2760				    21.8	
2768				    21.8	
2776				    21.9	
2785				    21.9	
2793				    22.0	
2802				    22.0	
2810				    17.0
2819				    16.9
2827				    16.8
2835				    16.7
2844				    16.4
2852				    16.3
2861				    16.2
2869				    16.1
2878				    16.0
2886				    16.0
2894				    15.9
2903				    15.8
2912				    15.7
2920				    15.7
2928				    15.6
2936				    15.6
2945				    15.6
2953				    15.3
2961				    15.2
2969				    15.2
2978				    15.2
2986				    14.9
2994				    15.1
3003				    15.1
3011				    15.1
3019				    14.9
3028				    14.9
3036				    14.6
3045				    14.5
3053				    14.5
3062				    14.4
3074				    14.2
3086				    14.2
3097				    14.0
3109				    14.0
3120				    13.8
3132				    13.8
3143				    13.8
3155				    13.6
3166				    13.5
3178				    13.5
3189				    13.5
3200				    13.5
3212				    13.5
3223				    13.4
3235				    13.4
3247				    13.1
3258				    12.9
3270				    12.9
3281				    12.7
3293				    12.6
3304				    15.5
3316				    12.3
3327				    12.3
3339				    11.7
3351				    11.6
3362				    11.2
3373				    11.2
3385				    11.0
3396				    10.9
3409				    10.3
3420				    10.2
3432				    9.9
3443				    9.7
3455				    9.3
3468				    9.2
3480				    9.0
3492				    8.8
3503				    8.5
3515				    8.3
3526				    8.2
3538				    8.0
3549				    7.8
3561				    7.6
3572				    7.5
3585				    7.2
3596				    7.0
3607				    6.9
3619				    6.6
3630				    6.6
3641				    6.4
3653				    6.3
3665				    6.0
3677				    5.9
3690				    5.6
3702				    5.5
3714				    5.4
3725				    5.3
3737				    5.1
3749				    4.8
3761				    4.7
3772				    5.8
3784				    6.1
3796				    6.4
3809				    6.4
3820				    6.2
3832				    5.7
3845				    5.6
3857				    5.6
3868				    5.6
3877				    5.4
3885				    4.9
3894				    4.8
3902				    4.7
3910				    4.6
3919				    4.6
3927				    4.6
3936				    4.2
3944				    4.2
3953				    3.7
3961				    3.6
3970				    3.6
3979				    3.4
3988				    3.4
3996				    3.3
4005				    3.2
4013				    3.2
4022				    2.8
4030				    2.8
4039				    2.8
4048				    2.5
4057				    2.4
4065				    2.3
4073				    2.2
4082				    2.1
4090				    2.0
4099				    1.9
4107				    1.7
4116				    1.6
4124				    1.6
4133				    1.6
4141				    1.4
4150				    1.2
4158				    1.2
4167				    1
4181				    1
4193				    1
4204				    1
4216				    9.5
4227				    9.6
4239				    35.0
4250				    35.0
4262				    35.0
