57				    
65				    1.9	
73				    1.9	
82				    1.9	
90				    1.9	
98				    1.9	
106				    1.9	
114				    1.9	
122				    3.4	
130				    3.5	
138				    3.6	
147				    3.6	
155				    3.6	
164				    3.6	
175				    3.6	
186				    3.6	
197				    3.5	
208				    2.1
219				    3.2	
230				    3.2	
241				    3.2	
252				    3.2	
263				    3.2	
274				    3.2	
285				    3.2	
297				    4.6	
308				    4.7	
319				    6.4	
331				    6.4	
342				    6.4	
353				    6.4	
364				    6.4	
375				    6.4	
386				    6.4	
398				    6.4	
409				    6.4	
420				    6.4	
431				    5.8	
442				    5.8	
453				    5.5	
465				    7.0	
476				    7.0	
487				    7.0	
498				    7.0	
509				    7.0	
521				    7.0	
532				    7.0	
543				    7.0	
554				    7.0	
565				    7.0	
576				    7.0	
587				    7.0	
598				    7.0	
610				    7.0	
621				    7.0	
632				    7.0	
643				    7.0	
655				    5.8	
666				    5.8	
677				    5.7	
688				    5.5	
699				    5.3	
710				    5.3	
721				    5.9	
732				    6.1	
743				    6.1	
754				    6.2	
765				    6.8	
777				    6.8	
788				    6.8	
799				    6.7	
811				    6.7	
822				    6.7	
833				    6.7	
845				    6.7	
856				    6.7	
867				    6.7	
879				    6.7	
890				    6.7	
901				    6.7	
912				    6.7	
923				    6.7	
934				    6.7	
946				    6.7	
957				    6.7	
968				    6.7	
979				    6.7	
991				    6.7	
1002				    6.7	
1013				    6.7	
1024				    6.7	
1035				    6.7	
1047				    6.7	
1058				    6.7	
1069				    6.7	
1080				    6.7	
1091				    6.7	
1103				    6.7	
1113				    6.7	
1124				    6.7	
1135				    6.0	
1147				    5.7	
1158				    4.7	
1170				    4.7	
1181				    4.5	
1192				    4.5	
1203				    4.7	
1215				    4.8	
1226				    4.8	
1237				    4.9	
1248				    4.9	
1260				    4.9	
1271				    4.9	
1282				    4.9	
1293				    4.9	
1304				    4.9	
1316				    4.9	
1327				    4.9	
1339				    5.0	
1350				    5.0	
1361				    5.1	
1373				    5.2	
1384				    5.3	
1395				    5.3	
1406				    5.3	
1418				    5.3	
1429				    5.3	
1440				    5.3	
1451				    5.3	
1463				    5.3	
1474				    5.3	
1485				    5.3	
1497				    5.3	
1508				    5.2	
1519				    5.2	
1530				    5.2	
1541				    5.2	
1552				    5.2	
1563				    5.2	
1574				    5.2	
1586				    5.2	
1597				    5.2	
