22495				    1
22506				    1
22517				    1
22529				    1.2	
22539				    2.9	
22551				    2.9	
22561				    2.9	
22572				    3.0
22583				    7.9	
22594				    8.3	
22605				    8.3	
22616				    11.9	
22627				    11.9	
22638				    11.9	
22649				    10.7	
22660				    17.2	
22671				    19.0	
22681				    19.0	
22692				    20.6	
22703				    23.0	
22714				    22.7	
22725				    22.7	
22736				    22.4	
22747				    22.3	
22758				    21.7	
22769				    29.6	
22780				    29.6	
22791				    29.6	
22802				    31.3	
22813				    31.3	
22823				    31.3	
22834				    28.8	
22845				    30.0	
22856				    29.9	
22867				    29.0	
22878				    29.8	
22889				    29.7	
22900				    30.4	
22911				    28.9	
22922				    29.0	
22933				    27.9	
22944				    29.4	
22955				    29.9	
22965				    28.7	
22976				    28.7	
22987				    28.1	
22998				    27.1	
23009				    26.6	
23019				    28.3	
23031				    30.0	
23042				    30.0	
23053				    30.1	
23064				    29.4	
23075				    29.2	
23086				    27.9	
23097				    27.9	
23108				    28.3	
23119				    28.3	
23131				    27.3	
23142				    28.1	
23154				    28.1	
23164				    28.1	
23175				    27.2	
23186				    28.6	
23197				    28.6	
23207				    27.9	
