25650				    1
25661				    1
25672				    1
25683				    1
25694				    1
25705				    1
25716				    1
25728				    1
25739				    1
25750				    1
25762				    1
25773				    1.1	
25784				    1.1	
25796				    1.1	
25807				    1.1	
25818				    1.1	
25829				    1.1	
25840				    1.1	
25851				    1.1	
25862				    1.1	
25874				    1.6	
25885				    2.3	
25896				    2.3	
25907				    2.3	
25918				    2.3	
25929				    2.3	
25940				    2.3	
25953				    2.3	
25964				    2.3	
25975				    3.3	
25987				    3.3	
25999				    3.6	
26010				    4.0	
26021				    4.0	
26033				    4.0	
26044				    4.0	
26055				    4.0	
26066				    4.0	
26077				    4.2	
26088				    4.6	
26099				    4.6	
26110				    4.7	
26121				    7.3	
26132				    7.6	
26143				    7.7	
26154				    7.8	
26165				    7.8	
26177				    7.8	
26188				    7.5	
26199				    7.5	
26210				    7.5	
26222				    7.5	
26233				    8.2	
26244				    9.1	
26255				    9.3	
26266				    9.4	
26277				    9.4	
26289				    9.1	
26300				    9.0	
26311				    8.9	
26323				    8.9	
26334				    8.8	
26345				    8.8	
26356				    9.0	
26367				    9.0	
26378				    9.1	
26389				    9.1	
26400				    9.1	
26411				    9.1	
26423				    9.1	
26434				    9.1	
26445				    9.0	
26456				    9.0	
26467				    9.0	
26479				    9.0	
26490				    8.8	
26501				    8.4	
26512				    8.1	
26523				    7.8	
26534				    7.8	
26546				    7.5	
26557				    7.5	
26568				    7.4	
26579				    7.5	
26591				    7.6	
26602				    7.6	
26613				    7.9	
26624				    8.0	
26636				    8.0	
26647				    7.9	
26658				    8.0	
26669				    8.2	
26680				    8.2	
26691				    8.2	
26703				    8.4	
26714				    8.5	
26725				    8.5	
26737				    8.6	
26748				    8.7	
26759				    8.8	
26770				    8.9	
26781				    8.9	
26792				    8.9	
26804				    8.9	
26815				    8.9	
26826				    8.8	
26837				    8.8	
26849				    8.8	
26860				    8.8	
26871				    8.8	
26882				    8.9	
26893				    8.9	
26905				    8.9	
26916				    8.9	
26928				    8.9	
26939				    8.9	
26951				    8.9	
26962				    8.9	
26973				    8.9	
26984				    8.7	
26995				    8.7	
27006				    8.7	
27017				    8.7	
27029				    8.7	
27040				    8.8	
27051				    8.8	
27062				    8.9	
27073				    8.9	
27085				    8.9	
27096				    9.2	
27107				    9.3	
27118				    9.4	
27129				    9.5	
27140				    9.5	
27151				    9.6	
27163				    9.6	
27174				    9.5	
27185				    9.5	
27196				    9.5	
27207				    9.8	
27219				    9.8	
27229				    9.9	
27241				    10.0	
27252				    10.0	
27263				    9.9	
27275				    9.9	
27286				    10.0	
27298				    10.0	
27309				    10.1	
27320				    10.2	
27331				    10.2	
27342				    10.3	
27354				    10.6	
27365				    10.6	
27377				    10.8	
27388				    10.8	
27399				    10.8	
27411				    10.9	
27422				    10.9	
27433				    10.9	
27444				    11.0	
27455				    11.1	
27466				    11.2	
27477				    11.2	
27489				    11.4	
27500				    11.4	
27511				    11.4	
27522				    11.4	
27533				    11.4	
27544				    11.4	
27555				    11.4	
27566				    11.5	
27578				    11.6	
27589				    11.6	
27600				    11.6	
27611				    11.6	
27622				    11.6	
27633				    11.6	
27644				    11.6	
27655				    11.6	
27666				    11.5	
27677				    11.5	
27688				    11.5	
27699				    11.5	
27710				    11.5	
27722				    11.5	
27733				    11.5	
