10501				    1
10512				    1
10524				    1
10536				    1
10547				    1
10558				    1
10569				    1
10580				    1.3	
10591				    1.3	
10602				    1.8	
10613				    1.8	
10624				    1.8	
10635				    1.8	
10646				    1.8	
10658				    1.8	
10668				    2.1	
10680				    2.7	
10691				    3.1	
10702				    3.7	
10712				    3.7	
10723				    3.7	
10734				    3.7	
10745				    3.7	
10756				    3.7	
10767				    3.7	
10778				    3.7	
10788				    3.7	
10799				    3.7	
10810				    3.7	
10821				    3.7	
10832				    3.8	
10843				    3.8	
10854				    4.1	
10865				    4.3	
10876				    4.4	
10887				    4.5	
10898				    4.6	
10909				    4.6	
10920				    4.6	
10931				    4.6	
10942				    4.6	
10953				    4.6	
10964				    4.6	
10975				    4.8	
10986				    4.8	
10996				    5.3	
11007				    5.8	
11019				    7.0	
11029				    7.1	
11040				    7.8	
11051				    8.3	
11062				    8.8	
11072				    8.8	
11083				    8.8	
11094				    8.8	
11105				    8.8	
11116				    8.8	
11128				    9.0	
11139				    9.5	
11150				    9.6	
11161				    10.2	
11172				    10.5	
11183				    10.5	
11195				    10.7	
11206				    10.8	
11217				    10.9	
11229				    10.9	
11240				    10.6	
11251				    10.8	
11262				    11.8	
11273				    12.0	
11284				    12.0	
11295				    11.9	
11306				    11.9	
11317				    11.8	
11328				    11.7	
11340				    11.7	
11351				    11.7	
11362				    11.7	
11373				    11.7	
11384				    11.7	
11396				    11.8	
11407				    12.2	
11418				    12.3	
11429				    12.6	
11440				    12.6	
11452				    12.6	
11463				    12.5	
11474				    13.1	
11485				    13.1	
11496				    13.3	
11507				    13.5	
11518				    13.6	
11529				    13.6	
11541				    13.6	
11552				    14.3	
11563				    15.1	
11574				    15.1	
11585				    15.1	
11597				    15.3	
11608				    15.3	
11619				    15.4	
11630				    15.4	
11642				    15.8	
11653				    15.8	
11664				    16.2	
11676				    16.4	
11687				    16.4	
11698				    16.5	
11710				    16.5	
11721				    16.2	
11733				    16.2	
11744				    16.2	
11755				    16.0	
11766				    16.2	
11777				    16.2	
11788				    16.3	
11800				    16.2	
11811				    16.1	
11823				    16.1	
11834				    16.4	
11845				    16.5	
11857				    16.6	
11869				    16.7	
11880				    17.0	
11892				    17.0	
11904				    16.8	
11915				    16.8	
11926				    16.7	
11937				    17.2	
11948				    17.4	
11959				    17.4	
11970				    17.5	
11982				    17.3	
11994				    17.3	
12005				    17.0	
12017				    17.0	
