23246				    1
23257				    1
23268				    1
23280				    1
23291				    1
23302				    1
23313				    2.1	
23324				    2.1	
23335				    2.1	
23346				    2.1	
23357				    2.1	
23368				    2.1	
23379				    2.1	
23390				    2.1	
23401				    2.1	
23413				    2.1	
23424				    2.1	
23435				    2.1	
23446				    2.2	
23457				    2.2	
23468				    2.7	
23479				    2.7	
23490				    2.7	
23501				    2.7	
23513				    2.7	
23524				    2.7	
23535				    2.7	
23546				    2.7	
23557				    2.7	
23568				    2.7	
23579				    3.9	
23590				    5.2	
23601				    5.2	
23613				    5.5	
23624				    5.5	
23635				    5.5	
23646				    5.5	
23658				    5.5	
23669				    5.5	
23681				    5.5	
23692				    8.7	
23703				    8.7	
23714				    9.3	
23725				    9.3	
23736				    11.3	
23747				    11.3	
23759				    11.3	
23770				    11.2	
23781				    11.2	
23792				    11.2	
23803				    11.2	
23814				    11.2	
23825				    11.2	
23837				    11.4	
23848				    11.4	
23860				    11.0	
23871				    11.7	
23882				    12.6	
23893				    13.4	
23904				    13.4	
23915				    13.6	
23926				    13.6	
23937				    13.5	
23948				    13.3	
23959				    13.5	
23970				    13.5	
23982				    13.8	
23993				    14.0	
24004				    14.0	
24015				    14.0	
24027				    14.0	
24038				    14.0	
24049				    14.0	
24060				    14.0	
24071				    14.0	
24082				    14.0	
24093				    13.4	
24104				    12.9	
24115				    14.1	
24126				    14.5	
24137				    14.3	
24148				    14.5	
24160				    14.5	
24170				    14.7	
24182				    15.8	
24193				    16.3	
24204				    16.3	
24215				    16.6	
24226				    17.0	
24237				    17.1	
24248				    18.0	
24259				    18.0	
24270				    18.0	
24281				    17.7	
24292				    19.0	
24303				    19.4	
24314				    19.4	
24325				    19.2	
24336				    19.2	
24348				    19.2	
24358				    19.2	
24369				    19.2	
24380				    19.2	
24391				    21.2	
24403				    21.3	
24414				    22.1	
24425				    22.8	
24436				    22.8	
24447				    22.4	
24458				    22.1	
24469				    21.9	
24480				    22.5	
24491				    22.5	
24502				    22.8	
24513				    23.4	
24524				    23.3	
24535				    23.4	
