9366				    1
9378				    1
9390				    1
9402				    1
9414				    1
9426				    1.7	
9438				    2.6	
9450				    2.6	
9462				    2.6	
9474				    2.6	
9485				    2.8	
9497				    4.8	
9509				    5.6	
9521				    5.6	
9533				    5.6	
9545				    6.1	
9556				    10.4	
9569				    12.3	
9580				    12.3	
9592				    13.4	
9604				    16.2	
9616				    16.2	
9628				    15.2	
9640				    15.1	
9652				    18.2	
9664				    21.0	
9676				    21.1	
9688				    21.4	
9700				    26.7	
9712				    28.0	
9724				    28.3	
9736				    27.8	
9748				    25.6	
9760				    25.5	
9772				    24.6	
9784				    23.7	
9796				    23.7	
9808				    21.9	
9820				    21.8	
9832				    22.5	
9844				    22.5	
9855				    23.4	
9867				    22.9	
9879				    21.9	
9891				    22.7	
9902				    22.6	
9914				    22.0	
9926				    22.0	
9938				    22.0	
9950				    21.2	
9961				    23.8	
9973				    23.8	
9985				    22.6	
9997				    22.7	
10009				    22.7	
10021				    22.5	
10033				    22.9	
10045				    24.1	
10057				    24.1	
10069				    23.9	
10081				    23.2	
10093				    23.0	
10105				    22.9	
10117				    23.0	
10129				    22.9	
10141				    22.8	
10153				    23.0	
10165				    22.6	
10177				    22.6	
10189				    22.0	
10201				    22.1	
10213				    22.3	
10225				    22.1	
10237				    21.7	
10249				    21.9	
10261				    21.7	
10274				    21.7	
10286				    21.9	
10297				    22.0	
