12764				    
12768				    2.9	
12772				    2.9	
12777				    2.9	
12781				    2.9	
12785				    2.9	
12789				    2.9	
12793				    2.9	
12798				    2.9	
12801				    3.6	
12805				    3.8	
12810				    5.5	
12814				    5.5	
12818				    5.5	
12822				    5.5	
12827				    5.5	
12831				    5.5	
12835				    5.5	
12840				    5.5	
12844				    7.9	
12849				    7.9	
12854				    10.1	
12858				    10.1	
12863				    10.1	
12867				    10.1	
12871				    10.1	
12876				    11.4	
12881				    11.4	
12885				    11.4	
12889				    13.6	
12893				    13.7	
12898				    14.2	
12902				    14.4	
12907				    14.5	
12912				    14.5	
12916				    17.8	
12921				    19.2	
12925				    24.2	
12929				    27.6	
12933				    27.6	
12938				    34.1	
12942				    35.6	
12947				    38.5	
12952				    39.8	
12956				    43.2	
12960				    43.2	
12964				    43.2	
12968				    41.9	
12973				    44.7	
12977				    46.5	
12981				    47.4	
12985				    47.4	
12989				    77.6	
12994				    86.3	
12998				    86.3	
13002				    91.8	
13007				    94.1	
13011				    96.8	
13016				    93.6	
13020				    87.5	
13025				    84.2	
13030				    75.9	
13034				    74.6	
13039				    86.9	
13043				    86.9	
13048				    87.5	
13052				    102.2	
13057				    108.0	
13062				    108.0	
13066				    106.1	
13071				    106.1	
13075				    106.1	
13080				    120.0	
13084				    122.8	
13089				    122.8	
13094				    122.2	
13098				    122.2	
13103				    130.3	
13107				    130.3	
13112				    130.3	
13116				    130.3	
13121				    130.3	
13125				    130.3	
13129				    130.3	
13134				    130.3	
13139				    130.3	
13143				    130.3	
13148				    130.3	
13152				    130.3	
13156				    130.3	
13161				    130.3	
13164				    130.3	
13168				    130.3	
13172				    130.3	
