2043				    1
2054				    1
2065				    1
2077				    1
2087				    1
2098				    1
2109				    1
2120				    1
2131				    1
2142				    1
2153				    1
2163				    1.1	
2171				    1.5	
2180				    1.5	
2188				    1.5	
2196				    1.5	
2204				    1.5	
2212				    1.5	
2220				    1.5	
2229				    1.5	
2237				    1.5	
2245				    1.5	
2253				    1.5	
2261				    1.5	
2269				    1.5	
2278				    1.5	
2286				    1.9	
2294				    2.6	
2303				    3.3	
2311				    3.3	
2319				    3.3	
2327				    3.3	
2336				    3.3	
2344				    3.3	
2352				    3.3	
2360				    3.3	
2368				    3.3	
2376				    3.3	
2384				    3.3	
2392				    3.3	
2400				    3.3	
2408				    3.3	
2416				    3.3	
2424				    3.6	
2432				    3.8	
2440				    5.0	
2448				    5.3	
2456				    5.9	
2464				    5.9	
2471				    5.9	
2480				    5.9	
2488				    5.9	
2496				    5.8	
2504				    5.8	
2512				    5.8	
2520				    5.8	
2528				    5.8	
2536				    5.8	
2544				    5.8	
2552				    5.8	
2560				    5.8	
2568				    5.8	
2576				    5.9	
2584				    6.6	
2592				    7.1	
2600				    8.0	
2608				    8.1	
2616				    11.0	
2624				    11.0	
2633				    11.0	
2641				    11.0	
2649				    11.0	
2657				    11.0	
2665				    11.0	
2673				    10.8	
2682				    10.8	
2693				    10.8	
2704				    10.8	
2715				    11.8	
2726				    11.8	
2737				    11.8	
2748				    11.9	
2759				    14.2	
2770				    14.5	
2781				    14.9	
2792				    15.4	
2803				    17.2	
2815				    17.2	
2826				    19.5	
2837				    19.5	
2848				    19.5	
2859				    19.5	
2869				    19.5	
2881				    19.5	
2892				    19.5	
2904				    19.5	
2914				    17.9	
2926				    17.7	
2936				    17.7	
2947				    17.6	
2958				    20.2	
2969				    21.0	
2980				    23.3	
2990				    23.3	
3001				    22.7	
3012				    21.7	
3023				    23.4	
3034				    25.7	
3045				    26.7	
3056				    26.7	
3067				    27.1	
3078				    27.2	
3089				    27.2	
3100				    27.2	
3111				    27.2	
3122				    27.2	
3133				    28.6	
3145				    29.3	
3156				    29.6	
3167				    29.6	
3178				    32.0	
3188				    32.4	
3199				    32.4	
3210				    32.4	
3222				    36.9	
3233				    36.9	
3244				    36.9	
3255				    36.9	
3266				    36.9	
3277				    36.9	
3288				    36.9	
3299				    36.9	
3310				    36.9	
3321				    36.9	
3333				    36.9	
3344				    36.9	
3355				    36.9	
