2052				    1
2066				    1
2078				    1
2089				    1.4	
2100				    2.4	
2112				    2.4	
2122				    2.4	
2133				    2.4	
2144				    2.4	
2155				    2.4	
2166				    2.4	
2178				    2.4	
2189				    2.4	
2200				    2.4	
2211				    2.4	
2222				    2.4	
2233				    2.4	
2244				    2.4	
2255				    2.4	
2266				    2.4	
2278				    2.4	
2289				    1.9	
2300				    2.3	
2312				    2.3	
2323				    2.3	
2334				    2.3	
2345				    2.3	
2356				    2.3	
2367				    2.3	
2379				    2.3	
2390				    2.3	
2401				    2.3	
2412				    2.3	
2423				    2.3	
2434				    2.3	
2445				    2.3	
2456				    2.3	
2467				    2.3	
2479				    2.3	
2490				    3.1	
2501				    3.9	
2513				    3.9	
2524				    4.3	
2535				    4.3	
2546				    4.3	
2557				    4.2	
2568				    4.2	
2579				    4.2	
2590				    4.2	
2601				    4.2	
2613				    4.2	
2624				    4.2	
2635				    4.2	
2646				    4.2	
2657				    4.2	
2668				    4.2	
2679				    4.2	
2690				    5.1	
2701				    7.3	
2712				    7.5	
2724				    8.6	
2735				    8.6	
2746				    8.6	
2757				    8.6	
2769				    8.7	
2780				    8.7	
2791				    8.7	
2802				    8.7	
2813				    8.7	
2824				    8.7	
2835				    8.7	
2846				    8.7	
2857				    8.7	
2868				    8.7	
2879				    8.7	
2891				    8.7	
2902				    8.9	
2913				    9.0	
2924				    11.7	
2935				    14.2	
2946				    14.2	
2957				    14.2	
2968				    14.2	
2979				    14.5	
2991				    15.0	
3002				    15.0	
3013				    15.0	
3024				    15.0	
3035				    15.0	
3046				    15.0	
3057				    15.0	
3068				    15.0	
3079				    15.0	
3090				    15.0	
3102				    15.0	
3113				    15.0	
3124				    14.9	
3135				    15.0	
3146				    15.0	
3157				    15.0	
3168				    15.0	
3180				    13.8	
3191				    17.0	
3202				    17.0	
3213				    17.0	
3224				    22.0	
3235				    22.0	
3246				    22.0	
3257				    23.1	
3268				    23.6	
3279				    23.6	
3291				    23.6	
3302				    23.6	
3313				    23.6	
3324				    23.6	
3335				    23.6	
3347				    23.6	
3358				    23.6	
3369				    23.6	
3380				    23.9	
3392				    24.8	
3403				    25.3	
3416				    31.2	
3427				    32.5	
3438				    31.3	
3449				    31.3	
3460				    31.3	
3471				    31.3	
3482				    31.3	
3493				    31.3	
3505				    31.3	
3516				    31.3	
3528				    31.3	
3539				    31.3	
3552				    31.3	
3562				    31.3	
3574				    31.3	
3584				    31.3	
3596				    31.3	
3606				    31.3	
