1126				    
1135				    1
1142				    1
1149				    1
1157				    1
1164				    1
1172				    1
1179				    1.4	
1187				    2.0	
1194				    2.0	
1202				    2.0	
1209				    2.0	
1216				    2.0	
1223				    2.0	
1231				    2.0	
1238				    2.0	
1245				    2.0	
1252				    2.0	
1260				    2.0	
1267				    2.0	
1275				    2.0	
1282				    2.0	
1290				    2.0	
1297				    2.0	
1304				    2.0	
1311				    2.0	
1319				    2.0	
1326				    2.0	
1334				    2.0	
1341				    2.0	
1348				    2.0	
1356				    2.0	
1364				    2.0	
1375				    2.0	
1386				    2.0	
1397				    2.0	
1408				    1.8	
1419				    2.0	
1430				    2.0	
1441				    2.0	
1453				    2.0	
1464				    2.0	
1475				    2.0	
1486				    2.0	
1497				    2.0	
1509				    2.0	
1520				    2.0	
1531				    2.0	
1542				    2.0	
1553				    2.0	
1564				    2.0	
1575				    2.0	
1586				    2.0	
1597				    2.0	
1609				    2.0	
1620				    2.0	
1631				    2.2	
1642				    3.9	
1653				    3.9	
1664				    3.9	
1675				    3.9	
1687				    3.9	
1698				    3.9	
1709				    3.9	
1720				    3.9	
1732				    3.9	
1743				    3.9	
1755				    3.9	
1766				    3.9	
1777				    3.9	
1789				    3.9	
1800				    3.9	
1811				    3.9	
1823				    3.9	
1834				    3.9	
1845				    3.9	
1857				    3.9	
1868				    3.9	
1879				    3.9	
1891				    5.1	
1902				    5.6	
1913				    7.1	
1925				    7.1	
1936				    7.1	
1949				    7.1	
1960				    7.1	
1968				    7.1	
1975				    7.1	
1982				    7.1	
1988				    7.1	
1996				    7.1	
2002				    7.1	
2010				    7.1	
2017				    7.1	
2024				    8.1	
2030				    8.1	
2037				    8.1	
2044				    14.6	
2051				    22.5	
2057				    22.5	
2064				    32.4	
2071				    66.2	
2077				    80.1	
2084				    84.1	
2091				    83.0	
2097				    78.8	
2104				    78.4	
2111				    75.5	
2117				    69.8	
2124				    84.5	
2131				    93.9	
2138				    93.4	
2144				    107.4	
2151				    108.1	
2157				    104.6	
2164				    100.5	
2170				    95.8	
2177				    96.8	
2183				    94.1	
