1020				    1
1029				    1
1035				    1
1041				    1
1047				    1
1053				    1
1058				    1
1064				    1
1070				    1
1076				    1
1081				    1.8	
1087				    1.8	
1093				    1.8	
1104				    1.8	
1116				    1.8	
1127				    1.8	
1139				    1.8	
1150				    1.8	
1162				    1.8	
1173				    1.8	
1184				    1.8	
1195				    1.8	
1207				    1.8	
1218				    1.8	
1229				    1.8	
1240				    1.8	
1251				    1.8	
1262				    1.8	
1273				    1.8	
1284				    1.8	
1295				    1.7	
1307				    1.9	
1318				    2.0	
1329				    2.0	
1340				    2.0	
1351				    2.0	
1363				    2.0	
1375				    2.0	
1386				    2.0	
1397				    2.0	
1408				    2.0	
1419				    2.0	
1430				    2.0	
1441				    2.0	
1453				    2.0	
1463				    2.0	
1474				    2.0	
1485				    2.0	
1496				    2.0	
1507				    2.0	
1518				    3.3	
1529				    3.6	
1540				    3.6	
1551				    3.7	
1562				    3.8	
1573				    3.8	
1584				    3.8	
1595				    3.8	
1606				    3.8	
1617				    3.8	
1628				    3.8	
1639				    3.8	
1650				    3.8	
1661				    3.8	
1672				    3.8	
1683				    3.8	
1694				    3.8	
1705				    3.8	
1716				    3.8	
1728				    3.8	
1739				    3.8	
1750				    3.8	
1761				    3.8	
1772				    4.9	
1783				    6.3	
1794				    6.3	
1806				    6.6	
1816				    6.9	
1828				    6.9	
1839				    7.1	
1850				    7.1	
1862				    7.1	
1873				    7.1	
1884				    7.1	
1896				    7.1	
1907				    7.1	
1919				    7.1	
1930				    7.1	
1941				    7.1	
1954				    7.1	
1964				    7.1	
1972				    8.0	
1980				    8.0	
1988				    10.9	
1996				    11.9	
2006				    14.0	
2014				    14.0	
2022				    15.7	
2030				    15.7	
2038				    15.7	
2046				    16.6	
2054				    16.6	
2063				    16.6	
2075				    16.6	
2087				    16.6	
2098				    16.6	
2110				    16.6	
2122				    25.8	
2133				    29.8	
2145				    30.3	
2158				    35.2	
2170				    35.3	
2183				    34.1	
2195				    38.3	
2208				    38.3	
2220				    38.3	
2233				    38.3	
2246				    38.3	
2258				    38.3	
2271				    38.3	
2284				    35.6	
2295				    30.0	
2307				    30.0	
2315				    30.0	
2322				    30.0	
2328				    30.0	
2332				    30.0	
2337				    30.0	
2341				    30.0	
2346				    30.0	
2350				    30.0	
2354				    30.0	
2359				    30.0	
2364				    30.0	
2368				    30.0	
2373				    30.0	
2378				    30.0	
2382				    30.0	
2388				    30.0	
2401				    30.0	
2412				    30.0	
2424				    30.0	
2435				    30.0	
2447				    30.0	
2458				    30.0	
2469				    30.0	
2481				    30.0	
2492				    30.0	
2505				    30.0	
2513				    30.0	
2519				    30.0	
2525				    30.0	
2530				    30.0	
2535				    30.0	
2540				    30.0	
2546				    30.0	
2551				    30.0	
2556				    30.0	
2561				    30.0	
2566				    30.0	
2572				    30.0	
2577				    30.0	
2582				    30.0	
2587				    30.0	
2592				    30.0	
2597				    30.0	
2602				    30.0	
2607				    30.0	
2612				    30.0	
2617				    30.0	
2622				    30.0	
2627				    30.0	
2632				    30.0	
2637				    30.0	
2642				    30.0	
2647				    30.0	
2652				    30.0	
2657				    30.0	
2662				    30.0	
2667				    30.0	
2673				    30.0	
2685				    30.0	
2696				    14.6	
2708				    14.3	
2720				    2.2
2731				    2.0
2743				    2.0
2754				    2.0
2764				    1.6
2771				    1.6
2778				    1.5
2784				    1.2
2791				    1
2798				    1
2805				    1
2812				    1
2818				    6.1
2825				    6.1
