0				    
9				    2.9	
17				    2.9	
25				    2.9	
33				    2.9	
42				    4.1	
50				    5.5	
58				    5.5	
66				    5.5	
74				    8.3	
82				    9.9	
90				    11.6	
98				    11.6	
107				    14.3	
114				    14.7	
120				    21.3	
126				    21.5	
130				    21.5	
134				    21.5	
138				    21.5	
142				    23.0	
146				    23.0	
151				    23.0	
155				    26.0	
159				    26.8	
163				    35.0	
167				    36.9	
171				    36.9	
175				    36.9	
180				    36.9	
191				    43.7	
203				    40.0	
214				    55.4	
223				    55.2	
230				    55.2	
236				    55.2	
241				    55.2	
246				    55.2	
251				    55.2	
257				    55.2	
262				    65.0	
267				    68.3	
272				    68.3	
277				    62.5	
283				    63.6	
288				    63.6	
293				    59.6	
298				    58.8	
303				    58.2	
308				    69.3	
314				    69.3	
319				    69.3	
323				    69.3	
328				    69.3	
333				    69.3	
338				    69.3	
343				    69.3	
348				    66.0	
352				    66.0	
357				    66.0	
362				    66.0	
367				    66.0	
372				    66.0	
378				    66.0	
383				    66.0	
388				    66.0	
393				    66.0	
398				    49.9	
403				    47.8	
408				    47.8	
414				    47.8	
419				    65.3	
425				    66.4	
431				    66.4	
438				    63.3	
444				    66.9	
450				    69.2	
456				    70.3	
463				    68.1	
469				    68.5	
475				    68.4	
481				    68.4	
487				    68.4	
494				    68.4	
500				    69.8	
506				    71.1	
512				    101.5	
518				    103.3	
524				    106.6	
531				    106.6	
537				    115.4	
543				    113.8	
549				    106.6	
556				    107.3	
562				    101.7	
568				    103.2	
574				    100.8	
580				    109.6	
586				    108.2	
592				    106.1	
598				    105.1	
604				    108.3	
610				    108.3	
616				    108.9	
622				    106.0	
628				    101.5	
634				    104.8	
640				    104.5	
646				    102.1	
652				    103.3	
658				    103.9	
664				    100.4	
670				    98.0	
676				    101.9	
683				    101.4	
689				    99.8	
695				    97.5	
701				    96.5	
707				    105.6	
713				    107.0	
719				    111.9	
725				    112.8	
731				    112.3	
737				    116.5	
743				    116.3	
749				    116.3	
755				    112.4	
761				    112.3	
767				    109.7	
773				    112.8	
779				    112.8	
785				    117.3	
791				    117.2	
797				    115.7	
804				    116.1	
809				    115.3	
815				    115.1	
821				    115.1	
828				    113.8	
836				    116.7	
844				    115.1	
852				    116.7	
860				    114.2	
868				    112.7	
876				    55.7
884				    52.1
892				    50.0
900				    48.1
908				    46.9
916				    53.5
924				    51.6
932				    51.6
940				    48.5
948				    46.1
956				    44.4
964				    41.6
972				    39.0
980				    36.7
988				    35.8
996				    32.5
1004				    28.8
1012				    27.9
1020				    26.2
1029				    24.2
1037				    22.5
1045				    20.8
1053				    19.7
1062				    24.8
1071				    21.6
1079				    19.1
1087				    17.6
1095				    15.9
1103				    13.9
1112				    13.1
1120				    11.2
1129				    9.3
1138				    8.7
1145				    6.5
1151				    5.6
1156				    4.6
1161				    4.6
1167				    4.4
1171				    3.2
1176				    3.2
1181				    2.9
1185				    2.9
1189				    1
1194				    1
1198				    40.1
1202				    40.1
1206				    40.1
1210				    40.1
1214				    40.1
1218				    40.1
1222				    40.1
1225				    40.1
1229				    51.1
1233				    57.4
1237				    57.4
1241				    208.8
1245				    278.2
1249				    290.5
1253				    288.5
1257				    283.2
1261				    283.2
1266				    283.2
1270				    283.2
1274				    283.2
1278				    283.2
1282				    283.2
1286				    283.2
1290				    262.9
1293				    223.1
1298				    213.0
1302				    213.0
1307				    193.4
1312				    193.4
1316				    178.5
1322				    166.5
1326				    147.1
1330				    141.6
1334				    129.7
1338				    129.7
1342				    129.7
1348				    122.4
1353				    122.4
1357				    122.4
1361				    119.5
1365				    107.4
1369				    104.5
1374				    101.0
1378				    101.0
