13679				    
13689				    2.9	
13700				    2.9	
13711				    3.3	
13722				    5.6	
13733				    5.6	
13743				    7.5	
13754				    9.3	
13765				    11.5	
13776				    16.2	
13787				    19.9	
13798				    21.9	
13808				    27.1	
13819				    33.9	
13830				    34.8	
13842				    40.4	
13853				    49.6	
13864				    52.5	
13875				    52.8	
13886				    60.8	
13897				    60.5	
13908				    94.0	
13919				    111.5	
13930				    106.4	
13941				    99.9	
13952				    92.6	
13964				    94.3	
13975				    92.8	
13986				    92.8	
13997				    92.8	
14007				    92.8	
14018				    92.8	
14029				    61.2	
14040				    57.1	
