3756				    1
3765				    1
3774				    1
3782				    1
3790				    1
3798				    1
3807				    1.8	
3815				    3.0	
3823				    3.0	
3831				    3.0	
3839				    3.0	
3847				    3.0	
3856				    3.0	
3864				    3.0	
3872				    3.0	
3880				    3.0	
3888				    3.0	
3896				    3.4	
3904				    3.7	
3912				    4.5	
3920				    4.5	
3928				    4.5	
3936				    4.5	
3944				    4.5	
3952				    4.5	
3960				    4.5	
3968				    4.5	
3976				    4.5	
3984				    4.5	
3993				    4.5	
4001				    4.5	
4009				    4.6	
4017				    5.6	
4025				    6.9	
4033				    6.9	
4041				    7.4	
4049				    7.4	
4058				    7.4	
4066				    7.4	
4074				    7.4	
4082				    7.4	
4090				    7.4	
4099				    7.4	
4107				    7.4	
4115				    9.1	
4123				    12.3	
4131				    12.6	
4139				    16.5	
4147				    16.5	
4155				    16.5	
4164				    16.5	
4172				    16.5	
4180				    16.5	
4188				    16.5	
4196				    16.5	
4204				    16.5	
4213				    16.5	
4221				    20.0	
4229				    26.6	
4237				    30.4	
4245				    30.4	
4253				    30.4	
4262				    34.2	
4270				    34.2	
4278				    34.2	
4286				    34.2	
4294				    34.2	
4302				    34.2	
4310				    34.2	
4318				    34.2	
4326				    40.5	
4335				    39.3	
4343				    47.4	
4351				    47.4	
4359				    47.4	
4367				    51.1	
4375				    51.1	
4384				    52.4	
4392				    52.4	
4400				    52.4	
4408				    52.4	
4416				    52.4	
4424				    56.4	
4432				    56.4	
4440				    56.4	
4448				    56.4	
4457				    56.3	
4465				    56.3	
4473				    63.2	
4481				    63.2	
4489				    63.2	
4497				    63.1	
4505				    63.1	
4513				    63.1	
4521				    63.1	
4529				    63.1	
4537				    63.1	
4545				    63.1	
4553				    63.1	
4561				    63.1	
4570				    63.1	
4578				    63.1	
4586				    63.1	
4594				    63.1	
4602				    63.1	
4611				    63.1	
4619				    63.1	
4627				    63.1	
4635				    63.1	
4643				    63.1	
4651				    63.1	
4660				    63.1	
4668				    63.1	
4676				    63.1	
4684				    63.1	
4692				    63.1	
4701				    63.1	
4709				    63.1	
4717				    63.1	
