2667				    1
2678				    1
2689				    1
2700				    1
2711				    1
2722				    1
2733				    1
2744				    1.6	
2756				    2.0	
2767				    2.0	
2778				    2.0	
2789				    2.0	
2800				    2.0	
2811				    2.0	
2822				    2.9	
2833				    4.6	
2844				    4.6	
2856				    4.6	
2866				    4.6	
2877				    4.6	
2888				    4.6	
2899				    4.6	
2910				    7.5	
2921				    7.5	
2932				    8.2	
2944				    8.2	
2955				    8.2	
2966				    8.2	
2976				    8.2	
2983				    8.2	
2989				    8.2	
2995				    8.2	
3001				    8.5	
3006				    8.8	
3012				    9.4	
3018				    10.2	
3023				    10.5	
3029				    10.5	
3034				    12.6	
3040				    12.6	
3045				    12.6	
3051				    13.3	
3056				    13.3	
3062				    13.3	
3067				    13.3	
3073				    13.3	
3078				    13.3	
3084				    13.3	
3090				    13.3	
3095				    13.3	
3101				    13.3	
3106				    13.3	
3112				    13.3	
3117				    13.3	
3123				    13.6	
3128				    13.6	
3134				    13.5	
3139				    13.1	
3145				    13.1	
3150				    13.1	
3156				    13.1	
3162				    13.1	
3167				    13.5	
3173				    13.5	
3178				    13.5	
3184				    13.5	
3190				    13.5	
3195				    15.0	
3201				    15.0	
3206				    15.0	
3212				    15.0	
3217				    14.7	
3223				    14.7	
3229				    14.7	
3234				    14.7	
3240				    15.9	
3245				    15.9	
3251				    15.9	
3256				    15.9	
3262				    15.9	
3267				    15.9	
3273				    15.9	
3279				    15.9	
3284				    15.9	
3290				    16.3	
3296				    16.3	
3302				    16.3	
3307				    16.3	
3313				    16.3	
3318				    16.3	
3324				    17.8	
3330				    17.9	
3342				    17.9	
3352				    18.1	
3364				    19.5	
3374				    19.5	
3385				    18.9	
3396				    20.1	
3408				    20.1	
3418				    20.0	
3429				    19.9	
3440				    19.8	
3451				    20.0	
3462				    20.0	
3473				    21.5	
3484				    21.6	
3496				    21.5	
3507				    21.5	
3518				    21.2	
3529				    20.9	
3541				    20.6	
3551				    20.6	
3563				    20.6	
3574				    20.6	
3585				    20.7	
3596				    21.1	
3608				    21.7	
3619				    21.7	
3630				    21.4	
3641				    20.9	
3651				    20.9	
3659				    22.6	
3667				    22.6	
3675				    22.6	
3683				    22.6	
3691				    22.1	
3699				    22.0	
3707				    22.0	
3715				    21.7	
3723				    21.7	
3731				    21.7	
3739				    21.6	
3747				    21.6	
3756				    22.4	
3764				    22.4	
3772				    22.3	
3781				    22.2	
3789				    22.3	
3797				    22.2	
