10788				    1
10799				    1
10810				    1
10821				    1
10832				    1
10844				    1
10855				    1.4	
10866				    1.4	
10877				    1.9	
10888				    2.2	
10899				    2.2	
10910				    2.2	
10920				    2.2	
10931				    2.2	
10943				    2.2	
10954				    2.2	
10965				    2.2	
10976				    2.2	
10987				    2.2	
10998				    2.2	
11010				    2.2	
11021				    2.2	
11032				    2.0	
11043				    2.0	
11054				    2.0	
11065				    2.2	
11076				    2.3	
11087				    2.3	
11098				    2.3	
11108				    2.3	
11120				    2.3	
11131				    2.3	
11142				    2.7	
11153				    2.7	
11164				    2.7	
11175				    3.2	
11186				    6.4	
11197				    6.4	
11208				    6.5	
11219				    6.5	
11229				    6.5	
11240				    6.5	
11251				    6.5	
11262				    6.5	
11273				    7.4	
11284				    10.4	
11294				    11.2	
11305				    11.0	
11316				    11.0	
11327				    11.0	
11338				    9.8	
11349				    10.0	
11359				    10.3	
11370				    10.3	
11381				    10.3	
11392				    10.3	
11403				    10.3	
11414				    10.9	
11425				    12.3	
11436				    13.0	
11447				    13.0	
11458				    13.1	
11468				    13.2	
11479				    13.2	
11490				    13.6	
11501				    13.6	
11511				    13.4	
11522				    14.6	
11533				    15.0	
11544				    15.0	
11555				    15.1	
11566				    15.1	
11577				    15.2	
11588				    15.2	
11599				    15.2	
11610				    15.2	
11621				    15.2	
11632				    15.2	
11644				    15.6	
11655				    15.6	
11666				    15.2	
11677				    15.1	
11687				    15.3	
11699				    15.6	
11710				    15.8	
11721				    16.0	
11733				    16.0	
11744				    15.5	
11755				    16.3	
11766				    16.4	
11777				    16.9	
11788				    16.9	
11799				    16.4	
11811				    16.3	
11822				    17.0	
11833				    16.8	
11844				    16.8	
11854				    16.2	
11865				    16.2	
11876				    16.9	
11887				    17.4	
11898				    17.4	
11909				    17.5	
11920				    17.7	
11931				    17.7	
11942				    17.7	
11953				    17.7	
11964				    18.2	
11976				    18.3	
11987				    19.4	
11998				    19.5	
12009				    19.5	
12020				    19.5	
12031				    19.2	
12042				    19.7	
12053				    19.6	
12064				    19.3	
12075				    19.3	
12086				    19.0	
12097				    18.7	
12108				    19.0	
12119				    19.1	
12130				    19.3	
12140				    19.2	
12151				    19.2	
12163				    19.1	
12173				    18.9	
12185				    19.1	
