8860				    1
8871				    1
8882				    1
8893				    1
8903				    1
8914				    1
8925				    1
8936				    1
8947				    1
8958				    1.9	
8969				    1.9	
8980				    1.9	
8991				    1.9	
9002				    1.9	
9013				    1.9	
9024				    1.9	
9035				    2.2	
9046				    3.7	
9057				    4.1	
9068				    4.1	
9079				    4.1	
9089				    4.1	
9100				    4.1	
9111				    4.1	
9123				    4.1	
9134				    4.1	
9145				    4.7	
9156				    6.1	
9167				    6.3	
9178				    6.9	
9189				    6.9	
9199				    6.9	
9210				    6.9	
9221				    6.9	
9232				    6.9	
9243				    6.9	
9255				    7.6	
9266				    7.7	
9277				    8.1	
9287				    9.1	
9298				    9.1	
9309				    9.9	
9320				    10.6	
9331				    10.6	
9342				    10.6	
9353				    10.5	
9364				    10.3	
9375				    10.3	
9386				    10.3	
9396				    10.3	
9407				    10.3	
9418				    10.3	
9429				    10.3	
9440				    10.1	
9451				    10.1	
9463				    9.4	
9474				    9.4	
9485				    9.5	
9496				    11.1	
9507				    11.5	
9518				    12.1	
9529				    12.2	
9540				    12.2	
9550				    12.2	
9561				    12.2	
9572				    12.2	
9583				    12.7	
9593				    13.4	
9605				    13.4	
9616				    13.4	
9627				    13.4	
9638				    13.4	
9649				    13.4	
9660				    14.0	
9671				    15.1	
9682				    15.2	
9693				    15.7	
9704				    15.7	
9716				    17.2	
9727				    17.2	
9738				    17.8	
9749				    17.7	
9760				    17.4	
9770				    17.4	
9781				    17.0	
9792				    18.3	
9803				    18.3	
9814				    18.0	
9825				    18.2	
9835				    18.2	
9842				    18.7	
9849				    18.8	
9855				    18.9	
9862				    18.9	
9869				    18.8	
9875				    18.8	
9882				    18.7	
9888				    18.5	
9895				    18.5	
9901				    18.5	
9908				    18.5	
9914				    18.4	
9921				    18.2	
9927				    18.1	
9934				    17.9	
9940				    17.9	
9947				    17.9	
9954				    17.6	
9960				    17.5	
9966				    17.5	
9973				    17.3	
9979				    17.2	
9986				    17.2	
9993				    17.2	
9999				    17.2	
10005				    17.2	
10012				    17.2	
10018				    17.2	
10025				    17.2	
10032				    17.2	
10038				    17.4	
10044				    17.5	
10051				    17.4	
10058				    17.4	
10064				    17.5	
10071				    17.7	
10078				    17.7	
10084				    17.7	
10090				    17.5	
10097				    17.5	
10104				    17.5	
10110				    17.5	
10116				    18.4	
10123				    18.4	
10130				    18.5	
10136				    18.5	
10143				    18.5	
10149				    18.3	
10156				    18.2	
10162				    18.5	
10169				    18.5	
10175				    18.5	
10182				    18.2	
10188				    18.3	
10195				    18.2	
10201				    18.2	
10208				    18.3	
10214				    18.3	
