3412				    1
3423				    1
3433				    1
3445				    1
3456				    1
3467				    1
3477				    1
3489				    1
3500				    1.1	
3511				    1.1	
3521				    1.1	
3532				    1.1	
3543				    1.1	
3554				    1.1	
3565				    1.1	
3576				    1.1	
3587				    1.1	
3598				    1.1	
3609				    1.1	
3620				    1.1	
3631				    1.1	
3642				    1.1	
3653				    1.1	
3664				    1.1	
3676				    1.1	
3687				    1.1	
3698				    1.7	
3709				    1.7	
3719				    1.7	
3732				    1.7	
3743				    1.7	
3754				    1.7	
3765				    1.7	
3776				    1.7	
3787				    1.7	
3798				    1.7	
3809				    1.7	
3820				    1.7	
3831				    3.2	
3842				    4.3	
3853				    4.6	
3863				    4.6	
3874				    4.6	
3885				    4.6	
3896				    4.6	
3907				    4.6	
3918				    4.6	
3929				    6.7	
3941				    6.8	
3951				    7.4	
3962				    9.9	
3973				    10.0	
3984				    10.8	
3995				    10.8	
4007				    10.8	
4018				    10.8	
4028				    10.8	
4039				    10.8	
4050				    11.3	
4061				    11.9	
4071				    12.0	
4083				    12.0	
4094				    12.3	
4105				    12.2	
4116				    14.2	
4127				    14.4	
4138				    14.1	
4148				    15.4	
4160				    15.3	
4170				    15.3	
4181				    15.3	
4192				    15.3	
4203				    15.3	
4214				    15.3	
4225				    15.7	
4236				    15.7	
4247				    15.8	
4258				    15.9	
4269				    16.1	
4280				    16.1	
4291				    16.1	
4301				    17.8	
4312				    17.8	
4323				    17.8	
4334				    17.3	
4345				    17.3	
4356				    17.3	
4367				    17.3	
4378				    15.9	
4389				    17.4	
4400				    17.4	
4411				    18.0	
4422				    18.0	
4433				    17.9	
4444				    18.0	
4455				    18.0	
4466				    18.1	
4477				    18.1	
4488				    18.1	
4500				    18.1	
4510				    18.1	
4522				    18.3	
4532				    18.3	
4543				    18.3	
4554				    17.9	
4565				    18.4	
4576				    18.3	
4587				    18.4	
4598				    18.4	
4608				    18.4	
4620				    18.5	
4631				    19.2	
4642				    19.1	
4653				    19.1	
4664				    18.9	
4675				    18.8	
4686				    18.8	
4697				    19.3	
4708				    19.6	
4719				    19.7	
4730				    19.5	
4741				    20.0	
4752				    19.7	
4763				    20.2	
4775				    20.7	
4786				    20.7	
