14852				    
14863				    2.2	
14874				    2.2	
14885				    2.2	
14896				    2.2	
14907				    2.2	
14917				    2.2	
14928				    2.2	
14939				    2.4	
14950				    2.4	
14961				    2.3	
14972				    2.3	
14983				    2.3	
14994				    2.3	
15005				    2.3	
15016				    5.1	
15027				    5.1	
15038				    5.2	
15049				    5.2	
15060				    5.2	
15071				    5.2	
15082				    5.4	
15093				    5.7	
15104				    6.2	
15115				    6.9	
15126				    7.3	
15137				    8.0	
15148				    8.0	
15159				    8.0	
15170				    8.0	
15181				    8.0	
15192				    9.2	
15203				    10.6	
15214				    10.6	
15225				    12.7	
15235				    14.6	
15246				    14.6	
15257				    14.6	
15268				    14.6	
15279				    16.6	
15290				    16.7	
15301				    16.7	
15312				    16.0	
15324				    15.1	
15335				    13.9	
15346				    13.9	
15357				    13.4	
15368				    13.2	
15378				    13.3	
15389				    14.1	
15400				    14.1	
15411				    13.9	
15422				    13.6	
15433				    13.6	
15444				    13.6	
15455				    13.6	
15466				    13.4	
15477				    13.3	
15488				    13.3	
15498				    13.3	
15509				    13.3	
15520				    13.6	
15532				    13.6	
15543				    14.1	
15553				    15.4	
15564				    15.4	
15575				    16.9	
15586				    16.6	
15598				    16.5	
15609				    17.5	
15620				    17.9	
15631				    17.8	
15642				    17.6	
15653				    17.6	
15664				    18.0	
15674				    18.9	
15686				    18.9	
15697				    19.3	
15708				    19.6	
15719				    19.6	
15730				    20.4	
15741				    20.4	
15753				    20.1	
15763				    20.7	
15775				    20.8	
15786				    20.8	
15797				    20.8	
15809				    20.8	
15820				    21.4	
15831				    21.4	
15842				    21.0	
15853				    21.1	
15865				    21.2	
15876				    21.6	
15887				    21.4	
15898				    21.7	
15909				    21.8	
15920				    21.8	
15931				    21.7	
15942				    22.6	
15953				    22.6	
15964				    22.4	
15974				    22.1	
15985				    22.1	
15996				    21.9	
