19636				    
19647				    1
19658				    1
19669				    1
19680				    1
19692				    1
19703				    1
19715				    1
19726				    1
19737				    1
19748				    1
19760				    1.3	
19771				    1.3	
19783				    1.3	
19794				    1.3	
19805				    1.3	
19816				    1.3	
19827				    1.3	
19838				    1.3	
19849				    3.1	
19860				    3.1	
19872				    3.2	
19883				    3.4	
19894				    3.4	
19905				    3.4	
19916				    3.4	
19927				    3.4	
19939				    3.4	
19950				    3.4	
19962				    4.2	
19973				    4.2	
19984				    4.3	
19995				    4.4	
20007				    4.9	
20018				    5.2	
20030				    5.2	
20041				    5.2	
20052				    5.2	
20063				    5.2	
20074				    5.2	
20086				    6.0	
20097				    6.0	
20108				    6.6	
20119				    8.0	
20131				    8.0	
20142				    8.3	
20154				    8.7	
20165				    8.7	
20176				    8.5	
20187				    8.5	
20198				    8.5	
20210				    8.5	
20221				    8.5	
20232				    8.5	
20243				    9.0	
20255				    9.0	
20266				    10.0	
20277				    10.0	
20289				    11.5	
20300				    12.0	
20311				    12.2	
20322				    12.5	
20334				    12.5	
20345				    13.7	
20356				    14.5	
20368				    14.5	
20379				    14.3	
20390				    14.3	
20402				    14.3	
20413				    14.3	
20424				    14.3	
20435				    14.3	
20447				    14.3	
20458				    15.5	
20469				    15.5	
20481				    16.4	
20492				    16.5	
20503				    16.8	
20515				    16.5	
20526				    16.4	
20537				    16.3	
20548				    16.7	
20559				    16.7	
20570				    16.6	
20582				    17.3	
20593				    17.3	
20604				    17.1	
20615				    17.4	
20626				    17.2	
20638				    17.7	
20649				    17.7	
20660				    17.2	
20671				    18.5	
20683				    18.5	
20694				    18.5	
20705				    18.5	
20716				    18.5	
20727				    18.5	
20738				    18.5	
20749				    18.7	
20761				    18.8	
20772				    18.7	
20783				    20.5	
20794				    20.5	
20805				    20.5	
20817				    20.4	
20828				    21.7	
20840				    21.5	
20851				    21.1	
20863				    21.4	
20875				    21.4	
20886				    21.3	
20897				    21.1	
20909				    21.1	
20920				    21.0	
20931				    21.0	
20942				    21.0	
20954				    20.9	
