25114				    
25125				    1
25136				    1
25147				    1
25158				    1
25168				    1
25180				    1
25190				    1
25201				    1
25212				    1
25223				    1
25234				    1
25245				    1.1	
25256				    1.2	
25267				    1.4	
25278				    1.4	
25289				    1.4	
25300				    1.4	
25311				    1.4	
25323				    1.4	
25334				    1.4	
25345				    1.4	
25356				    1.4	
25367				    1.4	
25378				    1.4	
25389				    1.9	
25400				    2.8	
25411				    2.8	
25422				    2.9	
25433				    2.9	
25445				    2.9	
25456				    2.9	
25467				    2.9	
25478				    2.9	
25489				    2.9	
25499				    2.9	
25510				    2.9	
25521				    2.9	
25533				    3.8	
25543				    3.8	
25554				    4.2	
25565				    5.1	
25577				    5.1	
25588				    5.1	
25599				    5.1	
25610				    5.1	
25621				    5.1	
25632				    5.1	
25643				    5.1	
25655				    5.1	
25666				    5.1	
25677				    6.2	
25688				    6.9	
25699				    6.9	
25710				    7.3	
25721				    7.9	
25732				    8.0	
25743				    8.9	
25754				    9.0	
25765				    9.0	
25776				    9.0	
25787				    9.0	
25798				    9.0	
25809				    8.7	
25820				    8.7	
25831				    8.7	
25842				    9.2	
25852				    9.2	
25864				    9.5	
25875				    9.4	
25886				    10.2	
25897				    10.6	
25908				    10.6	
25919				    11.9	
25930				    12.2	
25941				    12.3	
25952				    12.9	
25963				    12.9	
25974				    12.8	
25986				    13.7	
25996				    13.8	
26008				    13.8	
26019				    13.8	
26030				    13.8	
26041				    13.9	
26051				    13.9	
26062				    13.9	
26073				    13.9	
26084				    14.2	
26095				    14.2	
26107				    14.7	
26117				    14.9	
26128				    14.9	
26140				    14.9	
26150				    14.9	
26161				    15.6	
26172				    15.8	
26183				    15.8	
26194				    15.6	
26205				    16.0	
26216				    15.8	
26227				    15.8	
26239				    16.0	
26250				    15.9	
26260				    16.0	
26271				    16.2	
26283				    16.5	
26294				    16.5	
26304				    17.2	
26315				    17.3	
26326				    17.6	
26337				    17.6	
26348				    17.6	
26359				    17.5	
26370				    17.2	
26381				    17.2	
26392				    17.2	
26403				    17.5	
26414				    17.5	
26425				    17.5	
26436				    17.5	
26447				    17.5	
26458				    17.6	
26469				    17.6	
26480				    18.0	
26492				    18.0	
26503				    18.1	
26514				    18.0	
26525				    18.0	
26537				    18.6	
26548				    18.6	
26559				    18.6	
26569				    19.2	
26580				    19.2	
26591				    19.0	
26602				    18.9	
26613				    18.8	
26624				    18.7	
