10965				    
10976				    1
10987				    1
10998				    1
11009				    1
11020				    1
11031				    2.4	
11042				    2.4	
11053				    2.4	
11063				    2.7	
11074				    2.7	
11085				    2.7	
11096				    3.3	
11107				    6.6	
11117				    6.6	
11128				    6.6	
11139				    6.6	
11150				    6.6	
11161				    6.6	
11172				    7.3	
11183				    8.0	
11194				    8.0	
11204				    7.8	
11215				    16.8	
11226				    16.8	
11237				    19.2	
11248				    19.5	
11258				    21.9	
11269				    23.1	
11280				    23.1	
11291				    22.4	
11302				    20.0	
11313				    20.0	
11323				    18.2	
11334				    17.0	
11345				    16.1	
11356				    16.1	
11367				    16.1	
11378				    14.6	
11389				    13.7	
11400				    13.6	
11410				    13.4	
11421				    12.9	
11432				    12.9	
11443				    12.7	
11454				    12.4	
11465				    12.2	
11476				    12.2	
11486				    12.2	
11497				    12.2	
11508				    11.5	
11519				    11.2	
11529				    11.0	
11540				    10.5	
11551				    10.4	
11562				    10.3	
11573				    9.7	
11583				    9.6	
11594				    9.5	
11605				    9.5	
11616				    9.3	
11627				    9.5	
11637				    9.5	
11648				    9.5	
11659				    9.8	
11670				    9.8	
11681				    9.8	
11692				    9.8	
11703				    9.6	
11714				    10.2	
11725				    10.3	
11736				    10.4	
11747				    10.4	
11758				    10.4	
11769				    10.4	
11780				    10.4	
11791				    11.1	
11801				    11.2	
11812				    11.3	
11823				    11.8	
11834				    12.6	
11844				    12.6	
11855				    13.8	
11866				    14.3	
11877				    16.7	
11888				    16.7	
11899				    17.0	
11909				    17.1	
11920				    18.2	
11931				    18.2	
11942				    18.8	
11953				    18.5	
11964				    18.5	
11974				    18.6	
11985				    18.8	
11996				    18.8	
12007				    18.6	
12017				    18.6	
12028				    18.6	
12039				    18.6	
12050				    19.0	
12061				    19.1	
12072				    19.1	
12083				    18.9	
12093				    18.4	
12104				    18.3	
12115				    18.3	
12125				    18.1	
12136				    19.5	
12147				    19.7	
12158				    19.7	
12169				    20.2	
12180				    20.5	
12191				    20.6	
12202				    20.5	
12213				    20.5	
