8012				    1
8024				    1
8035				    1
8046				    1
8056				    2.5	
8067				    2.5	
8078				    2.5	
8089				    2.5	
8100				    3.0	
8111				    3.5	
8122				    5.7	
8133				    7.1	
8144				    7.4	
8154				    8.8	
8165				    10.4	
8176				    12.4	
8187				    12.3	
8198				    17.3	
8208				    19.8	
8219				    21.9	
8230				    21.9	
8241				    21.2	
8252				    23.0	
8262				    23.3	
8273				    23.9	
8284				    26.1	
8294				    25.9	
8305				    29.1	
8316				    31.3	
8327				    31.0	
8338				    28.7	
8349				    27.3	
8360				    27.3	
8371				    26.1	
8382				    25.7	
8392				    25.8	
8403				    24.6	
8414				    24.6	
8425				    23.1	
8436				    22.2	
8446				    22.2	
8457				    22.1	
8468				    21.2	
8479				    20.6	
8490				    20.6	
8500				    19.0	
8511				    19.0	
8522				    18.9	
8533				    18.4	
8544				    18.4	
8555				    18.4	
8566				    18.4	
8577				    18.2	
8588				    17.7	
8598				    17.6	
8609				    17.0	
8620				    17.0	
8631				    17.0	
8642				    16.5	
8653				    16.3	
8664				    16.6	
8674				    16.7	
8685				    16.6	
8696				    16.4	
8707				    16.5	
8718				    17.4	
8729				    17.5	
8740				    17.5	
8750				    18.3	
8761				    18.4	
8772				    18.4	
8783				    18.7	
8794				    19.6	
8805				    20.0	
8816				    20.0	
8827				    20.9	
8837				    21.4	
8848				    21.4	
8859				    21.3	
8870				    21.9	
8881				    23.0	
8891				    22.9	
8902				    22.9	
8913				    23.5	
