16480				    1
16491				    1
16502				    1
16513				    1
16524				    1
16535				    1
16546				    1
16557				    1
16568				    1
16579				    1
16591				    1
16602				    1.2	
16613				    1.2	
16624				    1.2	
16635				    1.2	
16646				    1.2	
16657				    1.2	
16668				    1.2	
16679				    1.2	
16690				    1.2	
16702				    1.2	
16712				    1.2	
16724				    1.2	
16735				    1.6	
16746				    1.7	
16757				    2.5	
16768				    2.5	
16779				    2.5	
16790				    2.5	
16801				    2.5	
16811				    2.5	
16822				    2.5	
16833				    2.5	
16844				    2.5	
16855				    2.5	
16865				    2.5	
16877				    2.5	
16888				    2.8	
16899				    4.1	
16910				    4.1	
16921				    4.3	
16931				    4.3	
16942				    4.3	
16953				    4.3	
16964				    4.3	
16975				    4.3	
16986				    4.3	
16997				    4.3	
17009				    4.3	
17020				    4.3	
17030				    4.3	
17041				    4.3	
17052				    5.1	
17063				    5.1	
17074				    6.6	
17085				    6.6	
17095				    6.9	
17106				    7.4	
17117				    7.4	
17128				    7.4	
17139				    7.4	
17150				    7.2	
17161				    7.2	
17171				    7.2	
17182				    7.2	
17193				    7.2	
17204				    7.2	
17215				    7.2	
17226				    7.2	
17237				    7.3	
17249				    7.3	
17259				    7.5	
17270				    8.0	
17281				    8.3	
17291				    9.2	
17302				    9.1	
17314				    9.5	
17325				    9.5	
17335				    9.6	
17346				    10.1	
17358				    10.1	
17369				    10.1	
17380				    10.0	
17390				    10.0	
17401				    10.0	
17412				    10.0	
17424				    9.9	
17435				    9.9	
17446				    9.9	
17457				    9.9	
17467				    9.9	
17478				    9.7	
17489				    9.7	
17500				    9.8	
17511				    9.9	
17522				    10.1	
17533				    10.3	
17544				    10.2	
17555				    10.3	
17566				    10.5	
17577				    10.5	
17588				    10.4	
17599				    10.3	
17610				    10.3	
17621				    10.3	
17632				    10.1	
17643				    10.4	
17655				    11.0	
17666				    11.3	
17676				    11.4	
17687				    11.7	
17698				    11.9	
17709				    11.9	
17720				    12.3	
17730				    12.4	
17741				    12.4	
17752				    12.7	
17763				    13.3	
17774				    13.5	
17785				    13.5	
17797				    13.5	
17808				    13.5	
17820				    13.4	
17831				    13.4	
17842				    13.4	
17853				    13.4	
17865				    13.4	
17875				    13.5	
17886				    13.5	
17897				    13.5	
17908				    13.5	
17919				    13.6	
17930				    13.6	
17941				    13.6	
17952				    13.5	
17963				    13.4	
17974				    13.3	
17985				    13.4	
17996				    13.4	
18007				    13.5	
18018				    13.5	
18029				    14.0	
18040				    14.0	
18051				    14.0	
18062				    14.2	
18074				    14.3	
18084				    14.8	
18095				    14.9	
18106				    14.9	
18117				    14.9	
18128				    15.0	
18139				    14.9	
18150				    14.8	
18161				    1.6
18172				    1.6
18183				    1.6
18194				    1.5
18205				    1
18216				    1
18227				    1
18238				    1
18249				    1
18260				    1
18271				    1
18282				    1
18293				    1
18304				    1
18316				    1
18327				    1
18338				    1
18349				    1
18360				    1
18371				    1
18382				    1
18394				    1
18405				    1
18415				    1
18426				    1
18437				    1
18449				    1
18460				    8.7
