22197				    
22208				    1
22219				    1
22230				    1
22241				    1
22251				    1
22262				    1
22273				    1
22284				    1
22295				    1.4	
22306				    1.4	
22317				    1.4	
22327				    1.4	
22338				    1.4	
22349				    1.4	
22360				    1.4	
22370				    1.4	
22381				    1.6	
22392				    1.6	
22403				    2.4	
22414				    2.7	
22425				    2.7	
22436				    2.7	
22447				    2.7	
22458				    2.7	
22468				    2.7	
22479				    2.7	
22490				    2.7	
22501				    2.7	
22512				    2.9	
22523				    2.9	
22533				    4.7	
22544				    4.7	
22555				    4.7	
22566				    4.7	
22577				    4.7	
22588				    4.7	
22599				    4.7	
22610				    4.7	
22621				    4.9	
22632				    5.0	
22643				    8.4	
22654				    8.4	
22666				    8.4	
22676				    8.4	
22687				    8.5	
22698				    8.5	
22709				    8.5	
22720				    8.2	
22731				    8.2	
22742				    8.2	
22753				    8.2	
22764				    8.2	
22775				    8.2	
22785				    8.2	
22796				    8.2	
22807				    7.9	
22818				    7.8	
22830				    7.4	
22841				    7.4	
22852				    7.1	
22863				    7.3	
22874				    7.6	
22885				    7.8	
22896				    7.8	
22907				    8.2	
22918				    9.0	
22929				    9.2	
22940				    9.3	
22951				    9.3	
22961				    9.3	
22972				    9.3	
22983				    9.3	
22994				    9.3	
23005				    9.3	
23016				    9.1	
23027				    10.3	
23038				    10.3	
23049				    11.8	
23060				    11.8	
23071				    11.9	
23082				    12.9	
23093				    12.9	
23104				    13.2	
23114				    13.7	
23125				    13.7	
23136				    13.6	
23147				    14.2	
23158				    14.9	
23169				    14.9	
23181				    15.5	
23192				    15.6	
23203				    15.6	
23215				    15.8	
23226				    15.8	
23237				    16.0	
23248				    16.2	
23259				    16.2	
23270				    16.2	
23281				    16.2	
23292				    16.3	
23303				    16.5	
23314				    16.5	
23325				    16.2	
23335				    17.2	
23346				    17.0	
23357				    17.1	
23368				    16.8	
23379				    17.2	
23390				    17.3	
23401				    17.5	
23412				    17.2	
23423				    17.6	
23434				    17.6	
23445				    17.5	
23456				    17.2	
23467				    17.2	
23477				    17.1	
23489				    17.1	
23501				    17.9	
23512				    18.2	
23523				    18.2	
23534				    18.2	
23544				    18.2	
23555				    18.3	
23566				    18.5	
23577				    18.3	
23589				    18.2	
23600				    18.5	
23609				    18.6	
23617				    18.8	
23625				    18.8	
23634				    18.5	
23642				    18.5	
23650				    18.5	
23659				    18.4	
