0				    
5				    1.6	
9				    1.6	
12				    1.6	
16				    1.6	
21				    1.6	
24				    1.6	
28				    1.6	
32				    1.6	
37				    1.6	
41				    1.6	
45				    2.4	
49				    2.4	
53				    3.1	
58				    3.1	
62				    3.1	
66				    3.1	
70				    3.1	
74				    3.1	
79				    3.1	
83				    3.1	
87				    3.1	
92				    3.1	
96				    3.1	
101				    3.1	
105				    3.6	
109				    3.6	
113				    5.6	
117				    5.6	
122				    5.6	
126				    5.6	
130				    5.6	
135				    5.6	
139				    5.6	
143				    5.6	
148				    7.4	
152				    8.5	
156				    8.5	
159				    8.7	
164				    8.7	
168				    12.1	
172				    12.1	
177				    12.1	
181				    12.1	
185				    13.4	
190				    13.4	
194				    14.5	
198				    16.0	
202				    20.1	
206				    20.1	
211				    20.1	
215				    20.1	
218				    20.1	
223				    20.1	
227				    18.9	
231				    17.2	
236				    19.9	
240				    19.9	
244				    20.0	
249				    21.0	
253				    21.0	
256				    21.4	
260				    21.4	
265				    23.1	
269				    23.1	
273				    23.0	
277				    23.0	
282				    26.7	
286				    26.7	
290				    27.0	
295				    27.0	
299				    31.1	
303				    31.1	
307				    30.3	
311				    30.3	
315				    28.1	
319				    28.1	
324				    27.7	
328				    27.7	
332				    26.8	
336				    26.8	
341				    26.5	
345				    26.5	
349				    26.5	
354				    26.5	
358				    26.5	
362				    26.5	
366				    26.5	
370				    26.5	
374				    27.0	
378				    27.0	
382				    26.7	
386				    26.7	
390				    28.6	
394				    28.6	
398				    28.6	
402				    28.6	
406				    27.9	
409				    27.9	
413				    27.7	
417				    27.7	
421				    26.0	
425				    26.1	
429				    26.1	
432				    25.9	
436				    25.9	
440				    25.9	
445				    25.6	
448				    26.0	
453				    26.0	
457				    25.9	
461				    25.2	
465				    26.5	
470				    26.7	
474				    26.7	
478				    26.7	
481				    26.7	
486				    26.4	
490				    26.4	
494				    25.9	
498				    25.9	
502				    25.8	
506				    25.8	
510				    26.1	
515				    26.1	
519				    26.1	
523				    25.9	
528				    25.9	
532				    25.9	
537				    25.9	
541				    25.7	
545				    25.7	
549				    24.8	
554				    26.0	
558				    26.0	
562				    26.0	
567				    26.0	
571				    25.9	
575				    25.9	
580				    25.9	
584				    25.6	
588				    25.6	
593				    26.0	
597				    26.0	
601				    26.0	
605				    26.0	
