16335				    
16346				    1
16358				    1
16370				    1
16382				    1
16393				    1
16405				    1
16417				    1
16428				    1.2
16439				    1.6	
16452				    1.6	
16463				    1.6	
16474				    1.6	
16485				    1.6	
16496				    1.6	
16507				    1.6	
16519				    1.7	
16531				    1.7	
16542				    2.5	
16554				    3.0	
16565				    3.1	
16576				    3.1	
16588				    3.1	
16599				    3.1	
16610				    3.1	
16622				    3.1	
16634				    3.5	
16645				    3.7	
16657				    4.2	
16668				    4.2	
16680				    4.6	
16691				    5.3	
16702				    5.3	
16713				    5.3	
16725				    5.3	
16736				    5.3	
16748				    5.3	
16759				    5.7	
16771				    5.7	
16783				    6.1	
16794				    6.8	
16806				    6.8	
16817				    7.6	
16828				    7.8	
16840				    8.0	
16851				    8.3	
16862				    8.4	
16874				    8.4	
16885				    8.4	
16896				    8.4	
16908				    8.4	
16919				    8.4	
16931				    8.6	
16942				    8.6	
16954				    8.5	
16965				    9.0	
16976				    10.0	
16988				    10.0	
16999				    9.9	
17010				    10.7	
17022				    11.0	
17033				    11.5	
17044				    11.7	
17056				    12.1	
17068				    12.1	
17079				    12.0	
17090				    12.0	
17102				    12.0	
17113				    12.0	
17124				    12.0	
17135				    12.2	
17147				    12.2	
17158				    12.2	
17170				    12.2	
17181				    12.6	
17192				    12.6	
17203				    12.9	
17215				    12.9	
17226				    12.8	
17238				    13.3	
17250				    13.3	
17261				    14.4	
17273				    14.3	
17284				    14.3	
17297				    13.9	
17308				    14.7	
17320				    14.7	
17331				    14.8	
17342				    15.2	
17354				    15.2	
17366				    15.2	
17377				    16.5	
17389				    16.6	
17400				    16.7	
17412				    16.7	
17424				    16.7	
17435				    16.7	
17446				    16.7	
17457				    16.7	
17468				    16.6	
17479				    17.4	
17491				    17.6	
17502				    17.6	
17513				    17.5	
17524				    17.5	
17536				    17.8	
17547				    17.8	
17558				    17.2	
17569				    17.2	
17581				    18.5	
17592				    18.8	
17603				    18.6	
17615				    18.5	
17626				    18.4	
17637				    18.4	
17648				    18.2	
17660				    18.7	
17671				    18.8	
17683				    19.5	
17694				    19.5	
17705				    19.5	
17717				    18.9	
17728				    19.2	
17740				    19.4	
17751				    19.4	
