5918				    1
5929				    1
5940				    1
5951				    1
5963				    1
5974				    1
5985				    1
5996				    1
6007				    1
6019				    1
6030				    1.3	
6041				    1.3	
6052				    1.3	
6063				    1.3	
6074				    1.3	
6085				    1.3	
6097				    1.3	
6108				    1.3	
6119				    1.3	
6130				    1.3	
6141				    2.0	
6153				    2.0	
6164				    2.0	
6175				    2.0	
6186				    2.3	
6197				    2.3	
6208				    2.3	
6219				    2.3	
6231				    2.3	
6242				    2.3	
6252				    2.3	
6264				    2.5	
6275				    2.9	
6286				    3.0	
6298				    4.7	
6309				    5.2	
6320				    5.2	
6331				    5.2	
6342				    5.2	
6354				    5.2	
6365				    5.2	
6376				    5.2	
6387				    5.2	
6398				    5.3	
6409				    5.3	
6420				    6.8	
6431				    6.9	
6442				    7.2	
6453				    7.8	
6464				    7.8	
6475				    7.9	
6487				    7.9	
6498				    7.9	
6509				    7.9	
6520				    7.7	
6531				    7.7	
6542				    7.9	
6553				    8.1	
6564				    9.6	
6575				    9.6	
6587				    9.8	
6598				    10.3	
6609				    11.1	
6620				    11.1	
6631				    11.1	
6642				    12.3	
6653				    12.3	
6664				    12.7	
6675				    12.7	
6686				    12.6	
6697				    12.6	
6709				    12.8	
6720				    12.8	
6731				    12.8	
6742				    12.8	
6753				    12.8	
6764				    14.1	
6775				    14.2	
6786				    14.1	
6798				    14.6	
6809				    14.6	
6820				    14.9	
6831				    14.9	
6842				    14.9	
6854				    14.7	
6865				    14.7	
6876				    15.5	
6887				    15.5	
6898				    16.0	
6910				    16.7	
6921				    16.7	
6932				    16.9	
6943				    16.9	
6955				    16.4	
6966				    16.4	
6978				    16.7	
6989				    16.7	
7000				    16.8	
7011				    16.8	
7022				    16.8	
7033				    16.8	
7044				    16.8	
7055				    17.1	
7067				    17.3	
7078				    17.2	
7089				    17.1	
7100				    16.6	
7111				    16.6	
7122				    16.7	
7134				    16.8	
7145				    16.9	
7156				    18.1	
7167				    18.2	
7178				    18.1	
7189				    17.8	
7200				    18.3	
7211				    18.3	
7222				    18.2	
7233				    18.2	
7245				    18.4	
7256				    18.3	
7267				    18.1	
7279				    18.8	
7291				    18.8	
7302				    18.3	
7314				    18.4	
7325				    18.8	
7337				    19.3	
7348				    19.3	
7359				    19.1	
