19906				    1
19917				    1
19928				    1
19939				    1
19950				    1
19961				    1
19972				    1
19983				    1
19995				    1
20006				    1
20017				    1.2
20028				    1.5	
20039				    1.5	
20050				    1.5	
20061				    1.5	
20072				    1.5	
20083				    1.5	
20094				    1.5	
20105				    1.5	
20116				    1.5	
20127				    1.5	
20138				    1.5	
20149				    2.2	
20160				    2.6	
20171				    2.6	
20182				    2.6	
20193				    2.6	
20204				    2.6	
20215				    2.6	
20227				    2.6	
20238				    2.6	
20249				    2.6	
20260				    2.6	
20271				    2.6	
20282				    2.7	
20293				    3.0	
20304				    3.1	
20315				    3.8	
20326				    3.8	
20337				    4.0	
20348				    4.0	
20359				    4.0	
20371				    4.0	
20382				    4.0	
20393				    4.0	
20404				    4.0	
20415				    4.0	
20426				    4.0	
20437				    4.0	
20448				    4.0	
20459				    4.1	
20470				    5.1	
20481				    5.9	
20492				    5.9	
20503				    6.2	
20514				    6.6	
20525				    6.8	
20536				    6.8	
20548				    6.9	
20559				    6.9	
20570				    6.7	
20580				    6.7	
20591				    6.7	
20603				    6.7	
20614				    6.7	
20626				    6.7	
20637				    6.7	
20648				    6.7	
20659				    6.9	
20671				    7.4	
20682				    7.4	
20693				    7.2	
20704				    7.2	
20715				    8.8	
20726				    9.0	
20737				    9.4	
20748				    9.5	
20759				    9.5	
20771				    9.9	
20781				    10.0	
20793				    10.5	
20804				    10.5	
20815				    10.5	
20826				    10.5	
20836				    10.5	
20847				    10.5	
20859				    10.5	
20870				    10.5	
20881				    10.2	
20892				    10.2	
20904				    10.4	
20914				    11.1	
20925				    11.9	
20936				    11.9	
20947				    11.9	
20958				    13.9	
20970				    13.9	
20981				    13.9	
20992				    13.1	
21003				    13.4	
21014				    13.4	
21025				    13.0	
21036				    13.0	
21048				    14.3	
21058				    14.3	
21070				    14.3	
21081				    14.8	
21092				    14.9	
21103				    15.0	
21115				    15.0	
21126				    15.3	
21137				    15.3	
21148				    15.1	
21159				    15.2	
21169				    15.2	
21180				    15.2	
21192				    15.2	
21203				    15.2	
21214				    15.2	
21225				    15.2	
21236				    15.2	
21247				    15.2	
21258				    16.0	
21270				    16.0	
21281				    16.0	
21292				    15.8	
21303				    17.2	
21314				    17.3	
21325				    17.2	
21336				    17.0	
21347				    17.0	
21358				    16.7	
21369				    16.7	
21380				    16.7	
21390				    16.6	
21401				    17.3	
21412				    17.4	
21423				    17.2	
21434				    17.2	
21445				    16.9	
21456				    16.6	
21467				    16.8	
21478				    16.9	
21489				    17.0	
21500				    17.8	
21511				    17.9	
21523				    17.8	
21534				    17.4	
21544				    17.4	
